MaDonHang,MaKhachHang,NgayDatHang,KenhBan,NhanVienBanHang,TrangThai
DH002372,KH0446,2024-08-01 03:52:00,Bán lẻ trực tiếp,NV14,Đã giao
DH002391,KH0141,2024-08-01 07:01:00,Bán lẻ trực tiếp,NV09,Đã giao
DH003373,KH0231,2024-08-01 09:17:00,TMĐT - Shopee,NV26,Đã giao
DH010628,KH0063,2024-08-01 12:11:00,TMĐT - Tiki,NV28,Đã hủy
DH003189,KH0198,2024-08-01 14:02:00,TMĐT - Tiki,NV28,Đã giao
DH011709,KH0249,2024-08-01 20:21:00,Bán lẻ trực tiếp,NV02,Đã giao
DH007869,KH0233,2024-08-01 20:23:00,Showroom,NV10,Đã hủy
DH011191,KH0421,2024-08-01 21:51:00,Đại lý,NV27,Đã giao
DH000919,KH0212,2024-08-01 22:30:00,TMĐT - Lazada,NV15,Đang xử lý
DH011881,KH0242,2024-08-01 23:55:00,Showroom,NV22,Đã giao
DH001763,KH0447,2024-08-02 00:16:00,TMĐT - Shopee,NV25,Đã giao
DH000902,KH0074,2024-08-02 00:37:00,TMĐT - Tiki,NV11,Đã giao
DH008205,KH0432,2024-08-02 03:03:00,Đại lý,NV22,Đã giao
DH002966,KH0242,2024-08-02 03:47:00,TMĐT - Lazada,NV01,Đã giao
DH005427,KH0032,2024-08-02 04:15:00,TMĐT - Lazada,NV05,Đã giao
DH007874,KH0306,2024-08-02 04:37:00,Đại lý,NV18,Đã giao
DH001490,KH0360,2024-08-02 08:31:00,Bán lẻ trực tiếp,NV20,Đã giao
DH002788,KH0318,2024-08-02 09:04:00,TMĐT - Shopee,NV28,Đã giao
DH004798,KH0399,2024-08-02 10:35:00,TMĐT - Lazada,NV23,Đã giao
DH001380,KH0044,2024-08-02 13:30:00,Đại lý,NV20,Đã giao
DH008582,KH0288,2024-08-02 16:22:00,TMĐT - Shopee,NV27,Đã giao
DH008834,KH0436,2024-08-02 16:29:00,Đại lý,NV07,Đã giao
DH009431,KH0446,2024-08-02 16:55:00,TMĐT - Lazada,NV30,Đã giao
DH007222,KH0246,2024-08-02 18:02:00,TMĐT - Shopee,NV14,Đã giao
DH000531,KH0365,2024-08-02 18:11:00,Đại lý,NV20,Đã giao
DH008978,KH0249,2024-08-02 18:14:00,TMĐT - Tiki,NV24,Đã giao
