MaSanPham,GiaVon
SP0001,32900.0
SP0002,29200.0
SP0003,51600.0
SP0004,130600.0
SP0005,185000.0
SP0006,783600.0
SP0007,160800.0
SP0008,920300.0
SP0009,297000.0
SP0010,661900.0
SP0011,30100.0
SP0012,122700.0
SP0013,73300.0
SP0014,420200.0
SP0015,68600.0
SP0016,697700.0
SP0017,44700.0
SP0018,635500.0
SP0019,128400.0
SP0020,71500.0
SP0021,40300.0
SP0022,843400.0
SP0023,108400.0
SP0024,67800.0
SP0025,28400.0
SP0026,76900.0
SP0027,61300.0
SP0028,108900.0
SP0029,174300.0
SP0030,773100.0
SP0031,43100.0
SP0032,140700.0
SP0033,64300.0
SP0034,174700.0
SP0035,579900.0
SP0036,160500.0
SP0037,137300.0
SP0038,709300.0
SP0039,16800.0
SP0040,124000.0
SP0041,884200.0
SP0042,129300.0
SP0043,167900.0
SP0044,849900.0
SP0045,139300.0
SP0046,28300.0
SP0047,98900.0
SP0048,48700.0
SP0049,122800.0
SP0050,499500.0
SP0051,199700.0
SP0052,31900.0
SP0053,145700.0
SP0054,105800.0
SP0055,133700.0
SP0056,46500.0
SP0057,184800.0
SP0058,34700.0
SP0059,432800.0
SP0060,23300.0
SP0061,156800.0
SP0062,173000.0
SP0063,69700.0
SP0064,116300.0
SP0065,542300.0
SP0066,411100.0
SP0067,13600.0
SP0068,40600.0
SP0069,47400.0
SP0070,104900.0
SP0071,641500.0
SP0072,403900.0
SP0073,87000.0
SP0074,781200.0
SP0075,105600.0
SP0076,71400.0
SP0077,111100.0
SP0078,144800.0
SP0079,22500.0
SP0080,120100.0
SP0081,34100.0
SP0082,695200.0
SP0083,51200.0
SP0084,98700.0
SP0085,70200.0
SP0086,144400.0
SP0087,119900.0
SP0088,68100.0
SP0089,111500.0
SP0090,593500.0
SP0091,52500.0
SP0092,34800.0
SP0093,800500.0
SP0094,101900.0
SP0095,59100.0
SP0096,47500.0
SP0097,71000.0
SP0098,88300.0
SP0099,159700.0
SP0100,157000.0
SP0101,255600.0
SP0102,584800.0
SP0103,127900.0
SP0104,804700.0
SP0105,140300.0
SP0106,140700.0
SP0107,207400.0
SP0108,97800.0
SP0109,680700.0
SP0110,46000.0
SP0111,46800.0
SP0112,97200.0
SP0113,113100.0
SP0114,57900.0
SP0115,22700.0
SP0116,512900.0
SP0117,36900.0
SP0118,144600.0
SP0119,161700.0
SP0120,98700.0
SP0121,153500.0
SP0122,94400.0
SP0123,149900.0
SP0124,60500.0
SP0125,159400.0
SP0126,66300.0
SP0127,33600.0
SP0128,179700.0
SP0129,154400.0
SP0130,164500.0
SP0131,31400.0
SP0132,309700.0
SP0133,154900.0
SP0134,109500.0
SP0135,784500.0
SP0136,583300.0
SP0137,658500.0
SP0138,27600.0
SP0139,139400.0
SP0140,176600.0
SP0141,53500.0
SP0142,381000.0
SP0143,87300.0
SP0144,150400.0
SP0145,108300.0
SP0146,61700.0
SP0147,46500.0
SP0148,42800.0
SP0149,790700.0
SP0150,108400.0
SP0151,135300.0
SP0152,143200.0
SP0153,137800.0
SP0154,27900.0
SP0155,194500.0
SP0156,87400.0
SP0157,159500.0
SP0158,112300.0
SP0159,492800.0
SP0160,59800.0
SP0161,78600.0
SP0162,106100.0
SP0163,126100.0
SP0164,506000.0
SP0165,27300.0
SP0166,222500.0
SP0167,34100.0
SP0168,23100.0
SP0169,657700.0
SP0170,189400.0
SP0171,22700.0
SP0172,526700.0
SP0173,88600.0
SP0174,511700.0
SP0175,23500.0
SP0176,91500.0
SP0177,169600.0
SP0178,167200.0
SP0179,175500.0
SP0180,800700.0
SP0181,558600.0
SP0182,81900.0
SP0183,111400.0
SP0184,166800.0
SP0185,22200.0
SP0186,754300.0
SP0187,147300.0
SP0188,89700.0
SP0189,104200.0
SP0190,33100.0
SP0191,39300.0
SP0192,353600.0
SP0193,92700.0
SP0194,117000.0
SP0195,135700.0
SP0196,98600.0
SP0197,520600.0
SP0198,20800.0
SP0199,82600.0
SP0200,323000.0
SP0201,636100.0
SP0202,307400.0
SP0203,732400.0
SP0204,794400.0
SP0205,331400.0
SP0206,44100.0
SP0207,21900.0
SP0208,75900.0
SP0209,85900.0
SP0210,21400.0
SP0211,171800.0
SP0212,189000.0
SP0213,26000.0
SP0214,45000.0
SP0215,52700.0
SP0216,63700.0
SP0217,197800.0
SP0218,128700.0
SP0219,41300.0
SP0220,48500.0
