MaChiPhi,Thang,KhoanMuc,SoTien
CP00001,2024-08-01,Lương nhân viên,6654045000.0
CP00002,2024-08-01,Thuê mặt bằng,1743821000.0
CP00003,2024-08-01,Marketing,1915883000.0
CP00004,2024-08-01,Vận chuyển,2059912000.0
CP00005,2024-08-01,Điện nước văn phòng,104334000.0
CP00006,2024-08-01,Khấu hao thiết bị,304731000.0
CP00007,2024-08-01,Chi phí khác,145688000.0
CP00008,2024-09-01,Lương nhân viên,5603768000.0
CP00009,2024-09-01,Thuê mặt bằng,1884498000.0
CP00010,2024-09-01,Marketing,3590064000.0
CP00011,2024-09-01,Vận chuyển,2203610000.0
CP00012,2024-09-01,Điện nước văn phòng,108190000.0
CP00013,2024-09-01,Khấu hao thiết bị,203684000.0
CP00014,2024-09-01,Chi phí khác,167187000.0
CP00015,2024-10-01,Lương nhân viên,5602128000.0
CP00016,2024-10-01,Thuê mặt bằng,1904389000.0
CP00017,2024-10-01,Marketing,2105519000.0
CP00018,2024-10-01,Vận chuyển,2838905000.0
CP00019,2024-10-01,Điện nước văn phòng,135456000.0
CP00020,2024-10-01,Khấu hao thiết bị,284669000.0
CP00021,2024-10-01,Chi phí khác,110339000.0
CP00022,2024-11-01,Lương nhân viên,6135973000.0
CP00023,2024-11-01,Thuê mặt bằng,1887033000.0
CP00024,2024-11-01,Marketing,3808311000.0
CP00025,2024-11-01,Vận chuyển,1718542000.0
CP00026,2024-11-01,Điện nước văn phòng,161144000.0
CP00027,2024-11-01,Khấu hao thiết bị,296119000.0
CP00028,2024-11-01,Chi phí khác,238533000.0
CP00029,2024-12-01,Lương nhân viên,5503696000.0
CP00030,2024-12-01,Thuê mặt bằng,1473548000.0
CP00031,2024-12-01,Marketing,5244609000.0
CP00032,2024-12-01,Vận chuyển,1501752000.0
CP00033,2024-12-01,Điện nước văn phòng,89472000.0
CP00034,2024-12-01,Khấu hao thiết bị,273017000.0
CP00035,2024-12-01,Chi phí khác,72323000.0
CP00036,2025-01-01,Lương nhân viên,5266331000.0
CP00037,2025-01-01,Thuê mặt bằng,1828224000.0
CP00038,2025-01-01,Marketing,4413402000.0
CP00039,2025-01-01,Vận chuyển,1169629000.0
CP00040,2025-01-01,Điện nước văn phòng,147429000.0
CP00041,2025-01-01,Khấu hao thiết bị,295473000.0
CP00042,2025-01-01,Chi phí khác,75603000.0
CP00043,2025-02-01,Lương nhân viên,4988812000.0
CP00044,2025-02-01,Thuê mặt bằng,1502180000.0
CP00045,2025-02-01,Marketing,1957777000.0
CP00046,2025-02-01,Vận chuyển,1674348000.0
CP00047,2025-02-01,Điện nước văn phòng,153144000.0
CP00048,2025-02-01,Khấu hao thiết bị,164823000.0
CP00049,2025-02-01,Chi phí khác,66798000.0
CP00050,2025-03-01,Lương nhân viên,5727065000.0
CP00051,2025-03-01,Thuê mặt bằng,1850413000.0
CP00052,2025-03-01,Marketing,2537111000.0
CP00053,2025-03-01,Vận chuyển,790171000.0
CP00054,2025-03-01,Điện nước văn phòng,132998000.0
CP00055,2025-03-01,Khấu hao thiết bị,252993000.0
CP00056,2025-03-01,Chi phí khác,187050000.0
CP00057,2025-04-01,Lương nhân viên,5267926000.0
CP00058,2025-04-01,Thuê mặt bằng,1716168000.0
CP00059,2025-04-01,Marketing,1936036000.0
CP00060,2025-04-01,Vận chuyển,1503356000.0
CP00061,2025-04-01,Điện nước văn phòng,132273000.0
CP00062,2025-04-01,Khấu hao thiết bị,190026000.0
CP00063,2025-04-01,Chi phí khác,149245000.0
CP00064,2025-05-01,Lương nhân viên,6381541000.0
CP00065,2025-05-01,Thuê mặt bằng,1408646000.0
CP00066,2025-05-01,Marketing,3396686000.0
CP00067,2025-05-01,Vận chuyển,1043805000.0
CP00068,2025-05-01,Điện nước văn phòng,113117000.0
CP00069,2025-05-01,Khấu hao thiết bị,308220000.0
CP00070,2025-05-01,Chi phí khác,148838000.0
CP00071,2025-06-01,Lương nhân viên,7284042000.0
CP00072,2025-06-01,Thuê mặt bằng,1729743000.0
CP00073,2025-06-01,Marketing,2046009000.0
CP00074,2025-06-01,Vận chuyển,2119358000.0
CP00075,2025-06-01,Điện nước văn phòng,102491000.0
CP00076,2025-06-01,Khấu hao thiết bị,296972000.0
CP00077,2025-06-01,Chi phí khác,49658000.0
CP00078,2025-07-01,Lương nhân viên,5433132000.0
CP00079,2025-07-01,Thuê mặt bằng,1219890000.0
CP00080,2025-07-01,Marketing,2056675000.0
CP00081,2025-07-01,Vận chuyển,2818444000.0
CP00082,2025-07-01,Điện nước văn phòng,93819000.0
CP00083,2025-07-01,Khấu hao thiết bị,302361000.0
CP00084,2025-07-01,Chi phí khác,171872000.0
CP00085,2025-08-01,Lương nhân viên,7020938000.0
CP00086,2025-08-01,Thuê mặt bằng,1404625000.0
CP00087,2025-08-01,Marketing,2006308000.0
CP00088,2025-08-01,Vận chuyển,2618346000.0
CP00089,2025-08-01,Điện nước văn phòng,105459000.0
CP00090,2025-08-01,Khấu hao thiết bị,222159000.0
CP00091,2025-08-01,Chi phí khác,92460000.0
CP00092,2025-09-01,Lương nhân viên,5571122000.0
CP00093,2025-09-01,Thuê mặt bằng,1920239000.0
CP00094,2025-09-01,Marketing,2243884000.0
CP00095,2025-09-01,Vận chuyển,1571642000.0
CP00096,2025-09-01,Điện nước văn phòng,128767000.0
CP00097,2025-09-01,Khấu hao thiết bị,283065000.0
CP00098,2025-09-01,Chi phí khác,108811000.0
CP00099,2025-10-01,Lương nhân viên,6755922000.0
CP00100,2025-10-01,Thuê mặt bằng,1563137000.0
CP00101,2025-10-01,Marketing,2002025000.0
CP00102,2025-10-01,Vận chuyển,2024043000.0
CP00103,2025-10-01,Điện nước văn phòng,158574000.0
CP00104,2025-10-01,Khấu hao thiết bị,270391000.0
CP00105,2025-10-01,Chi phí khác,137244000.0
CP00106,2025-11-01,Lương nhân viên,5989172000.0
CP00107,2025-11-01,Thuê mặt bằng,1576318000.0
CP00108,2025-11-01,Marketing,4639730000.0
CP00109,2025-11-01,Vận chuyển,2979401000.0
CP00110,2025-11-01,Điện nước văn phòng,157073000.0
CP00111,2025-11-01,Khấu hao thiết bị,272959000.0
CP00112,2025-11-01,Chi phí khác,65689000.0
CP00113,2025-12-01,Lương nhân viên,6970689000.0
CP00114,2025-12-01,Thuê mặt bằng,1493944000.0
CP00115,2025-12-01,Marketing,4327222000.0
CP00116,2025-12-01,Vận chuyển,1364405000.0
CP00117,2025-12-01,Điện nước văn phòng,81616000.0
CP00118,2025-12-01,Khấu hao thiết bị,225145000.0
CP00119,2025-12-01,Chi phí khác,225412000.0
CP00120,2026-01-01,Lương nhân viên,5385149000.0
CP00121,2026-01-01,Thuê mặt bằng,1440082000.0
CP00122,2026-01-01,Marketing,2271465000.0
CP00123,2026-01-01,Vận chuyển,1255697000.0
CP00124,2026-01-01,Điện nước văn phòng,115280000.0
CP00125,2026-01-01,Khấu hao thiết bị,257451000.0
CP00126,2026-01-01,Chi phí khác,67059000.0
CP00127,2026-02-01,Lương nhân viên,6978717000.0
CP00128,2026-02-01,Thuê mặt bằng,1624554000.0
CP00129,2026-02-01,Marketing,701427000.0
CP00130,2026-02-01,Vận chuyển,624438000.0
CP00131,2026-02-01,Điện nước văn phòng,108699000.0
CP00132,2026-02-01,Khấu hao thiết bị,291290000.0
CP00133,2026-02-01,Chi phí khác,130470000.0
CP00134,2026-03-01,Lương nhân viên,5697919000.0
CP00135,2026-03-01,Thuê mặt bằng,1857399000.0
CP00136,2026-03-01,Marketing,2904395000.0
CP00137,2026-03-01,Vận chuyển,1131795000.0
CP00138,2026-03-01,Điện nước văn phòng,123011000.0
CP00139,2026-03-01,Khấu hao thiết bị,189824000.0
CP00140,2026-03-01,Chi phí khác,181528000.0
CP00141,2026-04-01,Lương nhân viên,5792421000.0
CP00142,2026-04-01,Thuê mặt bằng,1991964000.0
CP00143,2026-04-01,Marketing,3099532000.0
CP00144,2026-04-01,Vận chuyển,2277575000.0
CP00145,2026-04-01,Điện nước văn phòng,86550000.0
CP00146,2026-04-01,Khấu hao thiết bị,246736000.0
CP00147,2026-04-01,Chi phí khác,118448000.0
CP00148,2026-05-01,Lương nhân viên,5529406000.0
CP00149,2026-05-01,Thuê mặt bằng,1806249000.0
CP00150,2026-05-01,Marketing,2578178000.0
CP00151,2026-05-01,Vận chuyển,1875719000.0
CP00152,2026-05-01,Điện nước văn phòng,101936000.0
CP00153,2026-05-01,Khấu hao thiết bị,267969000.0
CP00154,2026-05-01,Chi phí khác,75006000.0
CP00155,2026-06-01,Lương nhân viên,6860390000.0
CP00156,2026-06-01,Thuê mặt bằng,1346275000.0
CP00157,2026-06-01,Marketing,1084420000.0
CP00158,2026-06-01,Vận chuyển,1133214000.0
CP00159,2026-06-01,Điện nước văn phòng,126603000.0
CP00160,2026-06-01,Khấu hao thiết bị,217894000.0
CP00161,2026-06-01,Chi phí khác,105631000.0
CP00162,2026-07-01,Lương nhân viên,4907687000.0
CP00163,2026-07-01,Thuê mặt bằng,1346627000.0
