MaHoaDon,MaDonHang,NgayXuatHoaDon,HanThanhToan,SoTien,DaThu,ConLai
HD000001,DH002372,2024-08-04 03:52:00,2024-10-30 03:52:00,265003700.0,265003700.0,0.0
HD000002,DH002391,2024-08-03 07:01:00,2024-08-10 07:01:00,14160000.0,14160000.0,0.0
HD000003,DH003373,2024-08-01 09:17:00,2024-10-11 09:17:00,353526800.0,353526800.0,0.0
HD000004,DH003189,2024-08-03 14:02:00,2024-09-29 14:02:00,148233900.0,23059700.0,125174200.0
HD000005,DH011709,2024-08-03 20:21:00,2024-08-17 20:21:00,777600.0,777600.0,0.0
HD000006,DH011191,2024-08-04 21:51:00,2024-10-06 21:51:00,606274400.0,606274400.0,0.0
HD000007,DH000919,2024-08-04 22:30:00,2024-09-26 22:30:00,111696500.0,111696500.0,0.0
HD000008,DH011881,2024-08-02 23:55:00,2024-10-06 23:55:00,66745900.0,39548900.0,27197000.0
HD000009,DH001763,2024-08-05 00:16:00,2024-08-18 00:16:00,889700.0,889700.0,0.0
HD000010,DH000902,2024-08-02 00:37:00,2024-08-15 00:37:00,1026000.0,1026000.0,0.0
HD000011,DH008205,2024-08-04 03:03:00,2024-08-11 03:03:00,209100.0,209100.0,0.0
HD000012,DH002966,2024-08-02 03:47:00,2024-09-16 03:47:00,369688300.0,369688300.0,0.0
HD000013,DH005427,2024-08-03 04:15:00,2024-10-08 04:15:00,396123400.0,285831700.0,110291700.0
HD000014,DH007874,2024-08-04 04:37:00,2024-08-16 04:37:00,5887400.0,5887400.0,0.0
HD000015,DH001490,2024-08-05 08:31:00,2024-08-16 08:31:00,233100.0,233100.0,0.0
HD000016,DH002788,2024-08-03 09:04:00,2024-09-25 09:04:00,409787100.0,409787100.0,0.0
HD000017,DH004798,2024-08-03 10:35:00,2024-08-13 10:35:00,1639800.0,1639800.0,0.0
HD000018,DH001380,2024-08-05 13:30:00,2024-10-28 13:30:00,517604900.0,157193100.0,360411800.0
HD000019,DH008582,2024-08-03 16:22:00,2024-10-06 16:22:00,410076600.0,410076600.0,0.0
HD000020,DH008834,2024-08-03 16:29:00,2024-08-10 16:29:00,1076000.0,1076000.0,0.0
HD000021,DH009431,2024-08-02 16:55:00,2024-10-22 16:55:00,83036000.0,83036000.0,0.0
HD000022,DH007222,2024-08-05 18:02:00,2024-10-07 18:02:00,432753000.0,432753000.0,0.0
HD000023,DH000531,2024-08-04 18:11:00,2024-08-18 18:11:00,2042500.0,2042500.0,0.0
HD000024,DH008978,2024-08-04 18:14:00,2024-08-14 18:14:00,5799000.0,5799000.0,0.0
HD000025,DH001622,2024-08-04 19:37:00,2024-08-17 19:37:00,4315300.0,4315300.0,0.0
HD000026,DH006848,2024-08-03 21:27:00,2024-11-01 21:27:00,461148600.0,461148600.0,0.0
HD000027,DH004670,2024-08-05 22:05:00,2024-09-27 22:05:00,73096500.0,73096500.0,0.0
HD000028,DH006201,2024-08-02 22:17:00,2024-10-23 22:17:00,140863400.0,27988700.0,112874700.0
HD000029,DH004639,2024-08-05 22:43:00,2024-10-16 22:43:00,292925900.0,292925900.0,0.0
HD000030,DH008442,2024-08-02 23:32:00,2024-08-15 23:32:00,4076600.0,4076600.0,0.0
HD000031,DH001419,2024-08-06 04:19:00,2024-08-21 04:19:00,326800.0,326800.0,0.0
HD000032,DH004654,2024-08-05 04:36:00,2024-08-15 04:36:00,2641000.0,2641000.0,0.0
HD000033,DH001736,2024-08-03 09:41:00,2024-09-29 09:41:00,140885400.0,59539300.0,81346100.0
HD000034,DH004169,2024-08-04 11:27:00,2024-10-03 11:27:00,311239800.0,311239800.0,0.0
HD000035,DH002555,2024-08-06 11:29:00,2024-09-23 11:29:00,213761500.0,198216100.0,15545400.0
HD000036,DH009344,2024-08-03 13:34:00,2024-10-29 13:34:00,360835000.0,360835000.0,0.0
HD000037,DH003211,2024-08-03 16:28:00,2024-09-30 16:28:00,84227800.0,57608700.0,26619100.0
