MaSanPham,TenSanPham,NhomHang,DonViTinh,GiaNiemYet,HanSuDungNgay
SP0001,Muối tinh,Nguyên liệu đầu vào,Kg,38000.0,386.0
SP0002,Hương liệu thực phẩm Cao cấp,Nguyên liệu đầu vào,Kg,33000.0,611.0
SP0003,Đường tinh luyện Loại 1,Nguyên liệu đầu vào,Kg,59000.0,555.0
SP0004,Nước ngọt có ga Cao cấp,Đồ uống,Thùng,224000.0,431.0
SP0005,Nước tăng lực Thường,Đồ uống,Hộp,274000.0,522.0
SP0006,Máy xay sinh tố Thường,Gia dụng,Cái,1160000.0,
SP0007,Trà đóng chai Cao cấp,Đồ uống,Thùng,262000.0,410.0
SP0008,Ấm siêu tốc Cao cấp,Gia dụng,Cái,1434000.0,
SP0009,Bếp từ Loại 2,Gia dụng,Cái,521000.0,
SP0010,Ấm siêu tốc Loại 1,Gia dụng,Cái,1008000.0,
SP0011,Đường tinh luyện Loại 2,Nguyên liệu đầu vào,Kg,36000.0,616.0
SP0012,Bánh quy hộp Loại 2,Thực phẩm chế biến,Hộp,210000.0,226.0
SP0013,Nước ngọt có ga,Đồ uống,Hộp,136000.0,531.0
SP0014,Bếp từ Loại 1,Gia dụng,Cái,763000.0,
SP0015,Mì ăn liền cao cấp Loại 1,Thực phẩm chế biến,Thùng,119000.0,251.0
SP0016,Ấm siêu tốc Cao cấp,Gia dụng,Cái,978000.0,
SP0017,Hương liệu thực phẩm,Nguyên liệu đầu vào,Kg,50000.0,568.0
SP0018,Nồi cơm điện,Gia dụng,Cái,1029000.0,
SP0019,Nước ngọt có ga Loại 1,Đồ uống,Hộp,197000.0,383.0
SP0020,Snack khoai tây Loại 1,Thực phẩm chế biến,Thùng,125000.0,327.0
SP0021,Bột mì Thường,Nguyên liệu đầu vào,Kg,46000.0,430.0
SP0022,Ấm siêu tốc Thường,Gia dụng,Cái,1403000.0,
SP0023,Nước ngọt có ga,Đồ uống,Hộp,215000.0,297.0
SP0024,Nước tăng lực Thường,Đồ uống,Hộp,104000.0,539.0
SP0025,Đường tinh luyện Loại 2,Nguyên liệu đầu vào,Tấn,32000.0,581.0
SP0026,Nước ngọt có ga Cao cấp,Đồ uống,Hộp,118000.0,514.0
SP0027,Cà phê hòa tan Loại 1,Đồ uống,Hộp,93000.0,286.0
SP0028,Nước tăng lực,Đồ uống,Hộp,200000.0,527.0
SP0029,Trà đóng chai Thường,Đồ uống,Thùng,281000.0,447.0
SP0030,Nồi cơm điện,Gia dụng,Cái,1105000.0,
SP0031,Hương liệu thực phẩm Loại 1,Nguyên liệu đầu vào,Kg,52000.0,566.0
SP0032,Mì ăn liền cao cấp Loại 1,Thực phẩm chế biến,Thùng,243000.0,355.0
SP0033,Snack khoai tây Thường,Thực phẩm chế biến,Thùng,128000.0,224.0
SP0034,Trà đóng chai,Đồ uống,Thùng,279000.0,504.0
SP0035,Bếp từ Cao cấp,Gia dụng,Cái,1000000.0,
SP0036,Trà đóng chai Cao cấp,Đồ uống,Hộp,274000.0,331.0
SP0037,Cà phê hòa tan Cao cấp,Đồ uống,Thùng,202000.0,535.0
SP0038,Bếp từ Loại 1,Gia dụng,Cái,1190000.0,
SP0039,Hương liệu thực phẩm Thường,Nguyên liệu đầu vào,Tấn,19000.0,600.0
SP0040,Bánh quy hộp Thường,Thực phẩm chế biến,Thùng,258000.0,260.0
SP0041,Máy xay sinh tố Loại 2,Gia dụng,Cái,1377000.0,
SP0042,Snack khoai tây Loại 1,Thực phẩm chế biến,Hộp,226000.0,356.0
SP0043,Nồi cơm điện Loại 1,Gia dụng,Cái,252000.0,
SP0044,Ấm siêu tốc Loại 2,Gia dụng,Cái,1422000.0,
SP0045,Nước ngọt có ga,Đồ uống,Thùng,232000.0,274.0
SP0046,Bột mì Loại 1,Nguyên liệu đầu vào,Tấn,34000.0,371.0
SP0047,Mì ăn liền cao cấp Loại 2,Thực phẩm chế biến,Thùng,194000.0,352.0
SP0048,Muối tinh Cao cấp,Nguyên liệu đầu vào,Kg,54000.0,472.0
SP0049,Nước tăng lực Thường,Đồ uống,Thùng,237000.0,464.0
SP0050,Nồi cơm điện Loại 1,Gia dụng,Cái,786000.0,
SP0051,Bánh quy hộp Loại 1,Thực phẩm chế biến,Hộp,333000.0,328.0
SP0052,Dầu ăn công nghiệp Cao cấp,Nguyên liệu đầu vào,Kg,37000.0,416.0
SP0053,Mì ăn liền cao cấp Thường,Thực phẩm chế biến,Hộp,288000.0,263.0
