MaDonMuaHang,MaNhaCungCap,MaSanPham,NgayDatHang,SoLuong,DonGiaMua
PO001713,NCC036,SP0046,2024-08-01 01:55:44,541,26400.0
PO002763,NCC043,SP0096,2024-08-01 03:06:24,726,44400.0
PO002728,NCC028,SP0171,2024-08-01 09:42:54,319,21500.0
PO001710,NCC016,SP0058,2024-08-01 14:15:59,804,32700.0
PO001471,NCC002,SP0104,2024-08-01 20:55:18,404,620600.0
PO003336,NCC042,SP0004,2024-08-01 21:41:29,713,140500.0
PO002715,NCC017,SP0170,2024-08-02 12:43:38,695,161300.0
PO002668,NCC041,SP0204,2024-08-02 16:29:08,397,737500.0
PO003230,NCC013,SP0171,2024-08-02 16:41:53,648,19700.0
PO001720,NCC010,SP0077,2024-08-03 07:58:21,769,97300.0
PO003378,NCC025,SP0104,2024-08-03 20:27:26,777,724300.0
PO001240,NCC044,SP0141,2024-08-03 21:02:30,734,58900.0
PO002796,NCC031,SP0147,2024-08-03 21:47:48,457,44800.0
PO002660,NCC002,SP0087,2024-08-04 03:14:53,105,133200.0
PO002328,NCC003,SP0154,2024-08-04 05:24:12,834,24200.0
PO001425,NCC008,SP0110,2024-08-04 05:46:22,577,38000.0
PO002287,NCC015,SP0095,2024-08-04 06:44:47,905,68600.0
PO003248,NCC012,SP0197,2024-08-04 13:19:50,28,500800.0
PO002095,NCC007,SP0164,2024-08-04 15:48:49,171,471500.0
PO000218,NCC013,SP0072,2024-08-05 01:07:54,486,396100.0
PO001969,NCC010,SP0162,2024-08-05 03:24:29,670,115900.0
PO003279,NCC017,SP0190,2024-08-05 21:56:39,175,30300.0
PO003460,NCC014,SP0007,2024-08-06 07:05:58,986,138700.0
PO001818,NCC031,SP0188,2024-08-07 01:18:49,173,108800.0
PO000731,NCC027,SP0196,2024-08-07 04:38:29,254,68400.0
PO001038,NCC044,SP0188,2024-08-07 08:14:34,339,105100.0
PO002630,NCC022,SP0074,2024-08-07 12:41:17,472,658900.0
PO002893,NCC021,SP0099,2024-08-07 15:04:48,673,124000.0
PO002164,NCC042,SP0178,2024-08-07 21:06:34,320,129500.0
PO001085,NCC019,SP0128,2024-08-07 21:11:04,356,163300.0
PO000898,NCC038,SP0161,2024-08-07 23:50:46,216,72400.0
PO000683,NCC023,SP0147,2024-08-08 06:46:25,844,41600.0
PO001070,NCC006,SP0004,2024-08-08 09:10:44,677,124200.0
PO002849,NCC017,SP0134,2024-08-08 09:30:25,909,94600.0
PO003374,NCC028,SP0174,2024-08-08 17:08:18,852,520100.0
