Thang,Vung,MaNhanVien,ChiTieuDoanhThu
2024-08-01,Miền Bắc,NV08,2597461000.0
2024-08-01,Miền Bắc,NV10,2410894000.0
2024-08-01,Miền Bắc,NV13,1721347000.0
2024-08-01,Miền Bắc,NV15,2076552000.0
2024-08-01,Miền Bắc,NV17,2289153000.0
2024-08-01,Miền Bắc,NV19,2183080000.0
2024-08-01,Miền Bắc,NV20,1586685000.0
2024-08-01,Miền Bắc,NV22,2165481000.0
2024-08-01,Miền Bắc,NV30,2025780000.0
2024-08-01,Miền Nam,NV01,1656464000.0
2024-08-01,Miền Nam,NV02,1439158000.0
2024-08-01,Miền Nam,NV09,1840908000.0
2024-08-01,Miền Nam,NV12,2552703000.0
2024-08-01,Miền Nam,NV14,1664966000.0
2024-08-01,Miền Nam,NV23,1597760000.0
2024-08-01,Miền Nam,NV25,1416360000.0
2024-08-01,Miền Nam,NV26,1795918000.0
2024-08-01,Miền Nam,NV27,2767288000.0
2024-08-01,Miền Nam,NV28,2124064000.0
2024-08-01,Miền Nam,NV29,1687341000.0
2024-08-01,Miền Trung,NV03,2065210000.0
2024-08-01,Miền Trung,NV04,3156314000.0
2024-08-01,Miền Trung,NV05,2244023000.0
2024-08-01,Miền Trung,NV06,2676862000.0
2024-08-01,Miền Trung,NV07,2574673000.0
2024-08-01,Miền Trung,NV11,2708848000.0
2024-08-01,Miền Trung,NV16,2232543000.0
2024-08-01,Miền Trung,NV18,2462337000.0
2024-08-01,Miền Trung,NV21,1887111000.0
2024-08-01,Miền Trung,NV24,2593761000.0
2024-09-01,Miền Bắc,NV08,2866263000.0
2024-09-01,Miền Bắc,NV10,2690086000.0
2024-09-01,Miền Bắc,NV13,2184394000.0
2024-09-01,Miền Bắc,NV15,2517091000.0
2024-09-01,Miền Bắc,NV17,2759896000.0
2024-09-01,Miền Bắc,NV19,2539212000.0
2024-09-01,Miền Bắc,NV20,1895823000.0
2024-09-01,Miền Bắc,NV22,2568411000.0
2024-09-01,Miền Bắc,NV30,2326651000.0
2024-09-01,Miền Nam,NV01,1555337000.0
2024-09-01,Miền Nam,NV02,1381073000.0
2024-09-01,Miền Nam,NV09,1804786000.0
2024-09-01,Miền Nam,NV12,2405471000.0
2024-09-01,Miền Nam,NV14,1555573000.0
2024-09-01,Miền Nam,NV23,1474135000.0
2024-09-01,Miền Nam,NV25,1374048000.0
2024-09-01,Miền Nam,NV26,1662820000.0
2024-09-01,Miền Nam,NV27,2593477000.0
2024-09-01,Miền Nam,NV28,1959036000.0
2024-09-01,Miền Nam,NV29,1649102000.0
2024-09-01,Miền Trung,NV03,2422262000.0
2024-09-01,Miền Trung,NV04,3831932000.0
2024-09-01,Miền Trung,NV05,2774540000.0
2024-09-01,Miền Trung,NV06,3048230000.0
2024-09-01,Miền Trung,NV07,3120261000.0
2024-09-01,Miền Trung,NV11,3347231000.0
2024-09-01,Miền Trung,NV16,2637907000.0
2024-09-01,Miền Trung,NV18,3117238000.0
2024-09-01,Miền Trung,NV21,2318824000.0
2024-09-01,Miền Trung,NV24,2938637000.0
2024-10-01,Miền Bắc,NV08,3086575000.0
2024-10-01,Miền Bắc,NV10,3180925000.0
2024-10-01,Miền Bắc,NV13,2243666000.0
2024-10-01,Miền Bắc,NV15,2664581000.0
2024-10-01,Miền Bắc,NV17,3096363000.0
2024-10-01,Miền Bắc,NV19,2797400000.0
2024-10-01,Miền Bắc,NV20,2130472000.0
2024-10-01,Miền Bắc,NV22,2692055000.0
2024-10-01,Miền Bắc,NV30,2476464000.0
2024-10-01,Miền Nam,NV01,2034979000.0
2024-10-01,Miền Nam,NV02,1808682000.0
2024-10-01,Miền Nam,NV09,2191530000.0
2024-10-01,Miền Nam,NV12,2999669000.0
2024-10-01,Miền Nam,NV14,2005069000.0
2024-10-01,Miền Nam,NV23,1802223000.0
2024-10-01,Miền Nam,NV25,1639590000.0
2024-10-01,Miền Nam,NV26,2150572000.0
2024-10-01,Miền Nam,NV27,3158675000.0
2024-10-01,Miền Nam,NV28,2535247000.0
2024-10-01,Miền Nam,NV29,2124452000.0
2024-10-01,Miền Trung,NV03,2520953000.0
2024-10-01,Miền Trung,NV04,3795837000.0
2024-10-01,Miền Trung,NV05,2874418000.0
2024-10-01,Miền Trung,NV06,3211623000.0
2024-10-01,Miền Trung,NV07,3265903000.0
2024-10-01,Miền Trung,NV11,3559229000.0
2024-10-01,Miền Trung,NV16,2614288000.0
2024-10-01,Miền Trung,NV18,3055117000.0
2024-10-01,Miền Trung,NV21,2373404000.0
2024-10-01,Miền Trung,NV24,2988752000.0
2024-11-01,Miền Bắc,NV08,3612236000.0
2024-11-01,Miền Bắc,NV10,3435122000.0
2024-11-01,Miền Bắc,NV13,2474759000.0
2024-11-01,Miền Bắc,NV15,3083163000.0
2024-11-01,Miền Bắc,NV17,3443793000.0
2024-11-01,Miền Bắc,NV19,3085263000.0
2024-11-01,Miền Bắc,NV20,2511275000.0
2024-11-01,Miền Bắc,NV22,3142472000.0
2024-11-01,Miền Bắc,NV30,2855341000.0
2024-11-01,Miền Nam,NV01,2076543000.0
2024-11-01,Miền Nam,NV02,1820464000.0
2024-11-01,Miền Nam,NV09,2183780000.0
2024-11-01,Miền Nam,NV12,2841226000.0
2024-11-01,Miền Nam,NV14,1951407000.0
2024-11-01,Miền Nam,NV23,1872325000.0
2024-11-01,Miền Nam,NV25,1608580000.0
2024-11-01,Miền Nam,NV26,1996624000.0
2024-11-01,Miền Nam,NV27,3220340000.0
2024-11-01,Miền Nam,NV28,2600697000.0
2024-11-01,Miền Nam,NV29,2090489000.0
2024-11-01,Miền Trung,NV03,2600514000.0
2024-11-01,Miền Trung,NV04,4116507000.0
2024-11-01,Miền Trung,NV05,2956692000.0
2024-11-01,Miền Trung,NV06,3357771000.0
2024-11-01,Miền Trung,NV07,3608012000.0
2024-11-01,Miền Trung,NV11,3668069000.0
2024-11-01,Miền Trung,NV16,2782961000.0
2024-11-01,Miền Trung,NV18,3106915000.0
2024-11-01,Miền Trung,NV21,2428531000.0
2024-11-01,Miền Trung,NV24,3134767000.0
2024-12-01,Miền Bắc,NV08,4689816000.0
2024-12-01,Miền Bắc,NV10,4432550000.0
2024-12-01,Miền Bắc,NV13,3304572000.0
2024-12-01,Miền Bắc,NV15,4284558000.0
2024-12-01,Miền Bắc,NV17,4366837000.0
2024-12-01,Miền Bắc,NV19,3957031000.0
2024-12-01,Miền Bắc,NV20,3165211000.0
2024-12-01,Miền Bắc,NV22,3975264000.0
2024-12-01,Miền Bắc,NV30,3913205000.0
2024-12-01,Miền Nam,NV01,3703960000.0
2024-12-01,Miền Nam,NV02,3342292000.0
2024-12-01,Miền Nam,NV09,4147189000.0
2024-12-01,Miền Nam,NV12,5577649000.0
2024-12-01,Miền Nam,NV14,3556848000.0
2024-12-01,Miền Nam,NV23,3473016000.0
2024-12-01,Miền Nam,NV25,3056018000.0
2024-12-01,Miền Nam,NV26,3960951000.0
2024-12-01,Miền Nam,NV27,6012861000.0
2024-12-01,Miền Nam,NV28,4743746000.0
2024-12-01,Miền Nam,NV29,3821629000.0
2024-12-01,Miền Trung,NV03,4425602000.0
2024-12-01,Miền Trung,NV04,7137637000.0
2024-12-01,Miền Trung,NV05,5167937000.0
2024-12-01,Miền Trung,NV06,6029224000.0
2024-12-01,Miền Trung,NV07,5834454000.0
2024-12-01,Miền Trung,NV11,6517708000.0
2024-12-01,Miền Trung,NV16,5053879000.0
2024-12-01,Miền Trung,NV18,5332675000.0
2024-12-01,Miền Trung,NV21,4353728000.0
2024-12-01,Miền Trung,NV24,5852881000.0
2025-01-01,Miền Bắc,NV08,3237814000.0
2025-01-01,Miền Bắc,NV10,2870506000.0
2025-01-01,Miền Bắc,NV13,2248274000.0
2025-01-01,Miền Bắc,NV15,2608604000.0
2025-01-01,Miền Bắc,NV17,2791688000.0
2025-01-01,Miền Bắc,NV19,2695554000.0
2025-01-01,Miền Bắc,NV20,2125476000.0
2025-01-01,Miền Bắc,NV22,2622007000.0
2025-01-01,Miền Bắc,NV30,2576282000.0
2025-01-01,Miền Nam,NV01,2896006000.0
2025-01-01,Miền Nam,NV02,2461606000.0
2025-01-01,Miền Nam,NV09,3001916000.0
2025-01-01,Miền Nam,NV12,4165253000.0
2025-01-01,Miền Nam,NV14,2678904000.0
2025-01-01,Miền Nam,NV23,2548042000.0
2025-01-01,Miền Nam,NV25,2274736000.0
2025-01-01,Miền Nam,NV26,3003554000.0
2025-01-01,Miền Nam,NV27,4422051000.0
2025-01-01,Miền Nam,NV28,3422734000.0
2025-01-01,Miền Nam,NV29,2919364000.0
2025-01-01,Miền Trung,NV03,3601068000.0
2025-01-01,Miền Trung,NV04,5676332000.0
2025-01-01,Miền Trung,NV05,3863059000.0
2025-01-01,Miền Trung,NV06,4610619000.0
2025-01-01,Miền Trung,NV07,4661055000.0
2025-01-01,Miền Trung,NV11,4822649000.0
2025-01-01,Miền Trung,NV16,3913968000.0
2025-01-01,Miền Trung,NV18,4331085000.0
2025-01-01,Miền Trung,NV21,3090362000.0
2025-01-01,Miền Trung,NV24,4291597000.0
2025-02-01,Miền Bắc,NV08,2236933000.0
2025-02-01,Miền Bắc,NV10,1991212000.0
2025-02-01,Miền Bắc,NV13,1520952000.0
2025-02-01,Miền Bắc,NV15,1928139000.0
2025-02-01,Miền Bắc,NV17,2000142000.0
2025-02-01,Miền Bắc,NV19,1798117000.0
2025-02-01,Miền Bắc,NV20,1394752000.0
2025-02-01,Miền Bắc,NV22,1734834000.0
2025-02-01,Miền Bắc,NV30,1709728000.0
2025-02-01,Miền Nam,NV01,1627427000.0
2025-02-01,Miền Nam,NV02,1302519000.0
2025-02-01,Miền Nam,NV09,1668999000.0
2025-02-01,Miền Nam,NV12,2360900000.0
2025-02-01,Miền Nam,NV14,1608461000.0
2025-02-01,Miền Nam,NV23,1524079000.0
2025-02-01,Miền Nam,NV25,1373273000.0
2025-02-01,Miền Nam,NV26,1622221000.0
2025-02-01,Miền Nam,NV27,2607081000.0
2025-02-01,Miền Nam,NV28,1968391000.0
2025-02-01,Miền Nam,NV29,1565977000.0
2025-02-01,Miền Trung,NV03,1450012000.0
2025-02-01,Miền Trung,NV04,2387603000.0
2025-02-01,Miền Trung,NV05,1811942000.0
2025-02-01,Miền Trung,NV06,2084575000.0
2025-02-01,Miền Trung,NV07,1961069000.0
2025-02-01,Miền Trung,NV11,2155264000.0
2025-02-01,Miền Trung,NV16,1600152000.0
2025-02-01,Miền Trung,NV18,1980474000.0
2025-02-01,Miền Trung,NV21,1437638000.0
2025-02-01,Miền Trung,NV24,1879666000.0
2025-03-01,Miền Bắc,NV08,2468342000.0
2025-03-01,Miền Bắc,NV10,2326878000.0
2025-03-01,Miền Bắc,NV13,1676758000.0
2025-03-01,Miền Bắc,NV15,2219160000.0
2025-03-01,Miền Bắc,NV17,2237869000.0
2025-03-01,Miền Bắc,NV19,1972315000.0
2025-03-01,Miền Bắc,NV20,1600356000.0
2025-03-01,Miền Bắc,NV22,2025564000.0
2025-03-01,Miền Bắc,NV30,2037545000.0
2025-03-01,Miền Nam,NV01,1489258000.0
2025-03-01,Miền Nam,NV02,1274845000.0
2025-03-01,Miền Nam,NV09,1484154000.0
2025-03-01,Miền Nam,NV12,2044922000.0
2025-03-01,Miền Nam,NV14,1388463000.0
2025-03-01,Miền Nam,NV23,1361479000.0
2025-03-01,Miền Nam,NV25,1240949000.0
2025-03-01,Miền Nam,NV26,1443462000.0
2025-03-01,Miền Nam,NV27,2359166000.0
2025-03-01,Miền Nam,NV28,1814523000.0
2025-03-01,Miền Nam,NV29,1441633000.0
2025-03-01,Miền Trung,NV03,2309421000.0
2025-03-01,Miền Trung,NV04,3691580000.0
2025-03-01,Miền Trung,NV05,2507506000.0
2025-03-01,Miền Trung,NV06,2902757000.0
2025-03-01,Miền Trung,NV07,3018890000.0
2025-03-01,Miền Trung,NV11,3255052000.0
2025-03-01,Miền Trung,NV16,2521381000.0
2025-03-01,Miền Trung,NV18,2846428000.0
2025-03-01,Miền Trung,NV21,2133263000.0
2025-03-01,Miền Trung,NV24,2894737000.0
2025-04-01,Miền Bắc,NV08,2311271000.0
2025-04-01,Miền Bắc,NV10,2048051000.0
2025-04-01,Miền Bắc,NV13,1545773000.0
2025-04-01,Miền Bắc,NV15,2038547000.0
2025-04-01,Miền Bắc,NV17,2180986000.0
2025-04-01,Miền Bắc,NV19,1972096000.0
2025-04-01,Miền Bắc,NV20,1508868000.0
2025-04-01,Miền Bắc,NV22,1875951000.0
2025-04-01,Miền Bắc,NV30,1689285000.0
2025-04-01,Miền Nam,NV01,1637956000.0
2025-04-01,Miền Nam,NV02,1457257000.0
2025-04-01,Miền Nam,NV09,1848610000.0
2025-04-01,Miền Nam,NV12,2392441000.0
2025-04-01,Miền Nam,NV14,1721251000.0
2025-04-01,Miền Nam,NV23,1542699000.0
2025-04-01,Miền Nam,NV25,1341738000.0
2025-04-01,Miền Nam,NV26,1789485000.0
2025-04-01,Miền Nam,NV27,2642943000.0
2025-04-01,Miền Nam,NV28,2166397000.0
2025-04-01,Miền Nam,NV29,1762952000.0
2025-04-01,Miền Trung,NV03,2170650000.0
2025-04-01,Miền Trung,NV04,3575786000.0
2025-04-01,Miền Trung,NV05,2741568000.0
2025-04-01,Miền Trung,NV06,2800638000.0
2025-04-01,Miền Trung,NV07,2893678000.0
2025-04-01,Miền Trung,NV11,3308519000.0
2025-04-01,Miền Trung,NV16,2565857000.0
2025-04-01,Miền Trung,NV18,2833736000.0
2025-04-01,Miền Trung,NV21,2169944000.0
2025-04-01,Miền Trung,NV24,2904888000.0
2025-05-01,Miền Bắc,NV08,2812003000.0
2025-05-01,Miền Bắc,NV10,2849514000.0
2025-05-01,Miền Bắc,NV13,1935296000.0
2025-05-01,Miền Bắc,NV15,2451677000.0
2025-05-01,Miền Bắc,NV17,2650532000.0
2025-05-01,Miền Bắc,NV19,2455519000.0
2025-05-01,Miền Bắc,NV20,1957441000.0
2025-05-01,Miền Bắc,NV22,2408694000.0
2025-05-01,Miền Bắc,NV30,2329479000.0
2025-05-01,Miền Nam,NV01,1643889000.0
2025-05-01,Miền Nam,NV02,1440027000.0
2025-05-01,Miền Nam,NV09,1818875000.0
2025-05-01,Miền Nam,NV12,2492225000.0
2025-05-01,Miền Nam,NV14,1648697000.0
2025-05-01,Miền Nam,NV23,1599188000.0
2025-05-01,Miền Nam,NV25,1392868000.0
2025-05-01,Miền Nam,NV26,1627621000.0
2025-05-01,Miền Nam,NV27,2724399000.0
2025-05-01,Miền Nam,NV28,2152295000.0
2025-05-01,Miền Nam,NV29,1745776000.0
2025-05-01,Miền Trung,NV03,2347080000.0
2025-05-01,Miền Trung,NV04,3517497000.0
2025-05-01,Miền Trung,NV05,2507311000.0
