MaChiTiet,MaDonHang,MaSanPham,SoLuong,GiaBanThucTe,ChietKhau
CT0000001,DH002372,SP0019,78,197000.0,0.0
CT0000002,DH002372,SP0164,150,879000.0,0.0
CT0000003,DH002372,SP0026,245,118000.0,0.0
CT0000004,DH002372,SP0204,74,1413000.0,0.15
CT0000005,DH002391,SP0021,5,41100.0,0.05
CT0000006,DH002391,SP0082,9,765300.0,0.1
CT0000007,DH002391,SP0066,10,534600.0,0.0
CT0000008,DH003373,SP0163,309,192400.0,0.0
CT0000009,DH003373,SP0117,163,31900.0,0.0
CT0000010,DH003373,SP0014,209,608400.0,0.0
CT0000011,DH003373,SP0125,292,330100.0,0.15
CT0000012,DH003373,SP0015,234,99800.0,0.0
CT0000013,DH003373,SP0095,213,111100.0,0.05
CT0000014,DH010628,SP0099,187,200100.0,0.05
CT0000015,DH010628,SP0172,95,755300.0,0.0
CT0000016,DH010628,SP0056,232,49700.0,0.15
CT0000017,DH010628,SP0048,273,56200.0,0.0
CT0000018,DH003189,SP0110,50,51000.0,0.05
CT0000019,DH003189,SP0086,205,229000.0,0.1
CT0000020,DH003189,SP9006,63,714000.0,0.0
CT0000021,DH003189,SP0040,239,258000.0,0.05
CT0000022,DH011709,SP0124,9,88300.0,0.1
CT0000023,DH007869,SP0218,252,193000.0,0.0
CT0000024,DH007869,SP0165,91,30000.0,0.15
CT0000025,DH007869,SP0062,298,326000.0,0.15
CT0000026,DH007869,SP0113,113,216000.0,0.1
CT0000027,DH007869,SP9010,200,300000.0,0.1
CT0000028,DH007869,SP0133,185,255000.0,0.0
CT0000029,DH007869,SP0128,149,263000.0,0.1
CT0000030,DH007869,SP0127,256,37000.0,0.0
CT0000031,DH011191,SP0077,200,195000.0,0.1
CT0000032,DH011191,SP0093,222,1218000.0,0.0
CT0000033,DH011191,SP0071,179,900000.0,0.0
CT0000034,DH011191,SP0069,165,82000.0,0.15
CT0000035,DH011191,SP0028,319,200000.0,0.1
CT0000036,DH011191,SP0174,89,855000.0,0.1
CT0000037,DH011191,SP0207,92,26000.0,0.05
CT0000038,DH000919,SP0191,157,47000.0,0.0
CT0000039,DH000919,SP0155,76,300000.0,0.0
CT0000040,DH000919,SP0005,235,274000.0,0.15
CT0000041,DH000919,SP0026,227,118000.0,0.0
CT0000042,DH011881,SP0124,255,99100.0,0.1
CT0000043,DH011881,SP0073,262,122600.0,0.15
CT0000044,DH011881,SP0115,176,23100.0,0.0
CT0000045,DH011881,SP0219,142,62400.0,0.15
CT0000046,DH001763,SP0189,5,164000.0,0.0
CT0000047,DH001763,SP0058,2,41000.0,0.15
CT0000048,DH000902,SP0147,5,93000.0,0.0
CT0000049,DH000902,SP0199,4,165000.0,0.15
CT0000050,DH008205,SP0210,6,20500.0,0.05
CT0000051,DH008205,,2,38000.0,0.1
CT0000052,DH002966,SP0192,211,579000.0,0.0
CT0000053,DH002966,SP0025,86,32000.0,0.0
CT0000054,DH002966,SP0220,255,54000.0,0.0
CT0000055,DH002966,SP0119,293,285000.0,0.0
CT0000056,DH002966,SP0098,289,138000.0,0.0
CT0000057,DH002966,SP0093,93,1218000.0,0.05
CT0000058,DH005427,SP0109,277,1045000.0,0.1
CT0000059,DH005427,SP0079,221,27000.0,0.05
CT0000060,DH005427,SP0170,64,294000.0,0.0
CT0000061,DH005427,SP0157,139,340000.0,0.0
CT0000062,DH005427,SP0198,212,23000.0,0.0
CT0000063,DH005427,SP0145,291,189000.0,0.0
CT0000064,DH005427,SP0092,108,41000.0,0.1
CT0000065,DH007874,SP0014,7,763000.0,0.0
CT0000066,DH007874,SP0167,2,38000.0,0.1
CT0000067,DH007874,SP0202,1,478000.0,0.0
CT0000068,DH001490,SP0127,7,37000.0,0.1
CT0000069,DH002788,SP0044,212,1422000.0,0.1
CT0000070,DH002788,SP0187,324,258000.0,0.15
CT0000071,DH002788,SP0143,106,174000.0,0.15
CT0000072,DH002788,SP0120,313,174000.0,0.05
CT0000073,DH004798,SP0173,8,169000.0,0.0
CT0000074,DH004798,SP9003,3,101000.0,0.05
CT0000075,DH001380,SP0174,241,855000.0,0.0
CT0000076,DH001380,SP0157,91,340000.0,0.15
CT0000077,DH001380,SP0122,133,150000.0,0.0
CT0000078,DH001380,SP0082,187,1015000.0,0.05
CT0000079,DH001380,SP0050,84,786000.0,0.15
CT0000080,DH001380,SP0023,64,215000.0,0.05
CT0000081,DH001380,SP0020,133,125000.0,0.05
CT0000082,DH008582,SP0050,217,786000.0,0.1
CT0000083,DH008582,SP0188,118,191000.0,0.0
CT0000084,DH008582,SP0025,201,32000.0,0.15
CT0000085,DH008582,SP0080,223,203000.0,0.05
CT0000086,DH008582,SP0167,218,38000.0,0.0
CT0000087,DH008582,SP9013,130,195000.0,0.15
CT0000088,DH008582,SP0065,197,930000.0,0.15
CT0000089,DH008834,SP0046,5,34000.0,0.15
CT0000090,DH008834,SP0163,5,207000.0,0.1
CT0000091,DH009431,SP0002,246,33000.0,0.05
CT0000092,DH009431,SP0148,164,47000.0,0.15
CT0000093,DH009431,SP0184,69,293000.0,0.0
CT0000094,DH009431,SP0213,165,31000.0,0.0
CT0000095,DH009431,SP0037,253,202000.0,0.15
CT0000096,DH007222,SP0136,132,1056800.0,0.15
CT0000097,DH007222,SP0085,78,120600.0,0.1
CT0000098,DH007222,SP0002,89,37800.0,0.0
CT0000099,DH007222,,72,351200.0,0.15
CT0000100,DH007222,SP0114,324,103000.0,0.0
CT0000101,DH007222,SP0016,252,869900.0,0.0
