MaDonHang,MaKhachHang,NgayDatHang,KenhBan,NhanVienBanHang,TrangThai
DH007790,,04/06/2025 19:50:00,Bán lẻ,NV05,Đang xử lý
DH009898,KH0218,15/08/2024 00:15:00,TMĐT - Shopee,NV01,Đã giao
DH008590,KH0061,10/07/2026 02:10:00,Lazada,NV21,Đã giao
DH004335,KH0404,04/05/2026 19:14:00,Đại lý,NV02,Đã giao
DH000658,KH0380,03/02/2025 06:57:00,TMĐT - Tiki,NV18,Đang xử lý
DH001688,KH0035,12/03/2025 04:36:00,TMĐT - Lazada,NV18,Mới
DH003074,KH0034,27/11/2025 08:24:00,Showroom,NV30,Đã giao
DH006158,KH0106,25/03/2026 21:17:00,Lazada,NV01,Đã hủy
DH004908,KH0447,07/09/2024 08:01:00,Lazada,NV12,Đã giao
DH002386,KH0446,09/01/2026 20:34:00,Sàn Lazada,NV14,Đang xử lý
DH007242,KH0200,08/10/2024 07:26:00,Ban le,NV06,Đã giao
DH007803,KH0223,13/12/2024 17:18:00,TMĐT - Tiki,NV02,Đã giao
DH010138,KH0183,09/02/2025 21:30:00,TMĐT - Tiki,NV23,Đã giao
DH008443,KH0253,16/11/2025 02:41:00,Shopee,NV02,Đã giao
DH002794,KH0271,28/02/2025 04:48:00,TMĐT - Tiki,NV05,Đã giao
DH000714,,12/06/2025 02:20:00,Đại lý,NV09,Đã giao
DH002931,KH0070,14/03/2025 12:57:00,Shopee,NV23,Đã giao
DH000948,KH0306,29/06/2025 00:40:00,Đại lý,NV17,Đang xử lý
DH010354,KH0241,29/12/2024 16:41:00,Shopee,NV19,Đã giao
DH010375,KH0180,13/09/2025 22:18:00,TMĐT - Tiki,NV09,Đang xử lý
DH010466,KH0070,22/09/2025 12:07:00,Showroom,NV26,Đã giao
DH008804,KH0104,18/07/2026 02:05:00,Bán lẻ trực tiếp,NV07,Đang xử lý
DH005332,KH9004,29/05/2025 07:14:00,Showroom,NV29,Đã giao
DH003085,KH0137,09/05/2026 06:21:00,Shopee,NV11,Đã giao
DH006282,KH0236,11/11/2024 17:51:00,Bán lẻ trực tiếp,NV10,Đã giao
DH009761,KH0070,23/08/2025 12:50:00,Showroom,NV13,Đang xử lý
DH010979,KH0008,23/07/2025 09:30:00,Showroom,NV02,Đang xử lý
DH002933,KH0087,10/10/2025 19:19:00,Showroom,NV18,Đã giao
DH000600,,16/04/2026 14:17:00,TMĐT - Tiki,NV21,Đã giao
DH000679,KH0447,15/06/2025 09:36:00,Sàn Lazada,NV16,Đã giao
DH000389,,12/03/2026 09:18:00,Sàn Shopee,NV30,Đã giao
DH011002,KH0070,03/01/2026 08:24:00,Sàn Lazada,NV20,Đã giao
DH007590,KH0384,29/08/2025 15:14:00,Ban le,NV07,Đã giao
DH009109,KH0194,21/12/2024 13:25:00,Shopee,NV23,Đã giao
DH004782,KH0119,17/11/2024 09:15:00,Đại lý,NV17,Đã giao
DH010656,KH0155,28/12/2024 00:25:00,Sàn Lazada,NV15,Đang xử lý
DH001770,KH0070,16/03/2025 08:53:00,Bán lẻ,NV24,Đã giao
DH007536,,27/01/2025 19:21:00,Bán lẻ,NV12,Đã giao
DH001452,KH0246,27/04/2025 20:13:00,Bán lẻ,NV03,Đã giao
DH002939,KH0433,07/12/2025 09:19:00,Sàn Shopee,NV25,Đã giao
DH011392,KH0383,08/01/2026 23:24:00,Ban le,NV06,Đã giao
DH001531,KH0447,07/31/2025 10:53:00,TMĐT - Tiki,NV20,Đã giao
DH006017,KH0183,05/12/2025 22:36:00,TMĐT - Shopee,NV07,Đã hủy
DH000419,KH0447,16/12/2025 09:30:00,Đại lý,NV27,Đã giao
DH010554,KH0424,03/12/2024 00:57:00,Bán lẻ,NV06,Đã giao
DH008940,KH0353,12/05/2025 19:46:00,Đại lý,NV07,Đã giao
DH007554,KH0413,17/03/2026 09:42:00,Sàn Shopee,NV01,Đã giao
