MaSanPham,GiaVon
sp0001,32900.0
sp0002,29200.0
sp0003,51600.0
SP0004,130600.0
sp0005,185000.0
SP0006,783600.0
SP0007,160800.0
sp0008,920300.0
sp0009,297000.0
sp0010,661900.0
SP0011,30100.0
SP0012,122700.0
SP0013,73300.0
sp0014,420200.0
sp0015,68600.0
sp0016,697700.0
sp0017,44700.0
SP0018,635500.0
SP0019,128400.0
sp0020,71500.0
sp0021,40300.0
sp0022,843400.0
sp0023,108400.0
SP0024,67800.0
sp0025,28400.0
sp0026,76900.0
SP9707,61300.0
sp0028,108900.0
SP0029,174300.0
sp0030,773100.0
sp0031,43100.0
sp0032,140700.0
sp0033,64300.0
sp0034,174700.0
SP0035,579900.0
sp0036,160500.0
SP9707,137300.0
sp0038,709300.0
sp0039,16800.0
sp0040,124000.0
sp0041,884200.0
sp0042,129300.0
sp0043,167900.0
SP0044,849900.0
sp0045,139300.0
sp0046,28300.0
sp0047,98900.0
sp0048,48700.0
sp0049,122800.0
SP0050,499500.0
sp0051,199700.0
SP0052,31900.0
sp0053,145700.0
sp0054,105800.0
sp0055,133700.0
sp0056,46500.0
sp0057,184800.0
sp0058,34700.0
SP0059,432800.0
SP0060,23300.0
sp0061,156800.0
SP0062,173000.0
sp0063,69700.0
SP0064,116300.0
SP0065,542300.0
SP0066,411100.0
sp0067,13600.0
sp0068,40600.0
sp0069,47400.0
sp0070,104900.0
sp0071,641500.0
sp0072,403900.0
sp0073,87000.0
sp0074,781200.0
sp0075,105600.0
sp0076,71400.0
sp0077,111100.0
sp0078,144800.0
sp0079,22500.0
sp0080,120100.0
sp0081,34100.0
SP0082,695200.0
sp0083,51200.0
sp0084,98700.0
sp0085,70200.0
sp0086,144400.0
SP0087,119900.0
sp0088,68100.0
sp0089,111500.0
sp0090,593500.0
SP0091,52500.0
sp0092,34800.0
sp0093,800500.0
sp0094,101900.0
SP0095,59100.0
sp0096,47500.0
SP0097,71000.0
sp0098,88300.0
sp0099,159700.0
sp0100,157000.0
sp0101,255600.0
SP0102,584800.0
SP0103,127900.0
sp0104,804700.0
sp0105,140300.0
sp0106,140700.0
sp0107,207400.0
SP0108,97800.0
SP0109,680700.0
sp0110,46000.0
sp0111,46800.0
sp0112,97200.0
SP0113,113100.0
sp0114,57900.0
sp0115,22700.0
sp0116,512900.0
SP0117,36900.0
sp0118,144600.0
SP0119,161700.0
sp0120,98700.0
sp0121,153500.0
sp0122,94400.0
sp0123,149900.0
sp0124,60500.0
sp0125,159400.0
SP0126,66300.0
sp0127,33600.0
SP0128,179700.0
sp0129,154400.0
SP0130,164500.0
sp0131,31400.0
sp0132,309700.0
sp0133,154900.0
SP0134,109500.0
sp0135,784500.0
sp0136,583300.0
sp0137,658500.0
sp0138,27600.0
sp0139,139400.0
SP0140,176600.0
SP0141,53500.0
SP0142,381000.0
sp0143,87300.0
sp0144,150400.0
sp0145,108300.0
sp0146,61700.0
SP0147,46500.0
sp0148,42800.0
sp0149,790700.0
sp0150,108400.0
sp0151,135300.0
sp0152,143200.0
sp0153,137800.0
SP0154,27900.0
sp0155,194500.0
sp0156,87400.0
sp0157,159500.0
sp0158,112300.0
SP0159,492800.0
SP0160,59800.0
sp0161,78600.0
sp0162,106100.0
sp0163,126100.0
sp0164,506000.0
SP0165,27300.0
sp0166,222500.0
SP0167,34100.0
sp0168,23100.0
sp0169,657700.0
SP0170,189400.0
sp0171,22700.0
sp0172,526700.0
sp0173,88600.0
SP0174,511700.0
SP0175,23500.0
SP9703,91500.0
sp0177,169600.0
sp0178,167200.0
sp0179,175500.0
sp0180,800700.0
sp0181,558600.0
sp0182,81900.0
sp0183,111400.0
sp0184,166800.0
sp0185,22200.0
sp0186,754300.0
SP0187,147300.0
sp0188,89700.0
sp0189,104200.0
sp0190,33100.0
sp0191,39300.0
sp0192,353600.0
SP0193,92700.0
SP0194,117000.0
sp0195,135700.0
SP0196,98600.0
SP0197,520600.0
sp0198,20800.0
sp0199,82600.0
sp0200,323000.0
sp0201,636100.0
SP0202,307400.0
sp0203,732400.0
sp0204,794400.0
sp0205,331400.0
SP0206,44100.0
SP0207,21900.0
sp0208,75900.0
SP0209,85900.0
sp0210,21400.0
SP9707,171800.0
SP0212,189000.0
sp0213,26000.0
sp0214,45000.0
SP0215,52700.0
sp0216,63700.0
sp0217,197800.0
sp0218,128700.0
SP9705,41300.0
sp0220,48500.0
