MaChiPhi,Thang,KhoanMuc,SoTien
cp00001,01/08/2024,Lương nhân viên,6654045000.0
cp00002,01/08/2024,Thuê mặt bằng,1743821000.0
cp00003,01/08/2024,Marketing,1915883000.0
cp00004,2024-08,Vận chuyển,2059912000.0
cp00005,01/08/2024,Điện nước văn phòng,104334000.0
cp00006,2024-08,Khấu hao thiết bị,304731000.0
cp00007,01/08/2024,Chi phí khác,145688000.0
CP00008,01/09/2024,Lương nhân viên,5603768000.0
CP00009,01/09/2024,Thuê mặt bằng,1884498000.0
cp00010,01/09/2024,Marketing,3590064000.0
cp00011,01/09/2024,Vận chuyển,2203610000.0
cp00012,01/09/2024,Điện nước văn phòng,108190000.0
cp00013,2024-09,Khấu hao thiết bị,203684000.0
cp00014,01/09/2024,Chi phí khác,167187000.0
cp00015,01/10/2024,Lương nhân viên,5602128000.0
cp00016,01/10/2024,Thuê mặt bằng,1904389000.0
cp00017,01/10/2024,Marketing,2105519000.0
cp00018,01/10/2024,Vận chuyển,2838905000.0
cp00019,01/10/2024,Điện nước văn phòng,135456000.0
cp00020,01/10/2024,Khấu hao thiết bị,284669000.0
cp00021,10/01/2024,Chi phí khác,110339000.0
cp00022,01/11/2024,Lương nhân viên,6135973000.0
cp00023,01/11/2024,Thuê mặt bằng,1887033000.0
cp00024,01/11/2024,Marketing,3808311000.0
cp00025,01/11/2024,Vận chuyển,1718542000.0
cp00026,01/11/2024,Điện nước văn phòng,161144000.0
cp00027,01/11/2024,Khấu hao thiết bị,296119000.0
cp00028,01/11/2024,,238533000.0
cp00029,01/12/2024,Lương nhân viên,5503696000.0
cp00030,01/12/2024,Thuê mặt bằng,1473548000.0
CP00031,01/12/2024,Marketing,5244609000.0
cp00032,01/12/2024,Vận chuyển,1501752000.0
cp00033,01/12/2024,Điện nước văn phòng,89472000.0
CP00034,01/12/2024,Khấu hao thiết bị,273017000.0
cp00035,01/12/2024,Chi phí khác,72323000.0
cp00036,01/01/2025,Lương nhân viên,5266331000.0
cp00037,01/01/2025,Thuê mặt bằng,1828224000.0
cp00038,01/01/2025,Marketing,4413402000.0
cp00039,01/01/2025,Vận chuyển,1169629000.0
cp00040,01/01/2025,Điện nước văn phòng,147429000.0
cp00041,01/01/2025,Khấu hao thiết bị,295473000.0
cp00042,01/01/2025,Chi phí khác,75603000.0
cp00043,01/02/2025,Lương nhân viên,4988812000.0
cp00044,2025-02,Thuê mặt bằng,1502180000.0
CP00045,01/02/2025,Marketing,1957777000.0
cp00046,01/02/2025,Vận chuyển,1674348000.0
cp00047,01/02/2025,Điện nước văn phòng,153144000.0
cp00048,01/02/2025,Khấu hao thiết bị,164823000.0
cp00049,01/02/2025,Chi phí khác,66798000.0
cp00050,01/03/2025,Lương nhân viên,5727065000.0
cp00051,01/03/2025,Thuê mặt bằng,1850413000.0
cp00052,01/03/2025,Marketing,2537111000.0
cp00053,01/03/2025,Vận chuyển,790171000.0
cp00054,01/03/2025,Điện nước văn phòng,132998000.0
cp00055,01/03/2025,Khấu hao thiết bị,252993000.0
cp00056,01/03/2025,Chi phí khác,187050000.0
cp00057,01/04/2025,Lương nhân viên,5267926000.0
cp00058,01/04/2025,Thuê mặt bằng,1716168000.0
CP00059,01/04/2025,Marketing,1936036000.0
cp00060,01/04/2025,Vận chuyển,1503356000.0
cp00061,01/04/2025,Điện nước văn phòng,132273000.0
CP00062,01/04/2025,Khấu hao thiết bị,190026000.0
cp00063,01/04/2025,Chi phí khác,149245000.0
cp00064,01/05/2025,Lương nhân viên,6381541000.0
CP00065,01/05/2025,Thuê mặt bằng,1408646000.0
cp00066,2025-05,Marketing,3396686000.0
CP00067,01/05/2025,Vận chuyển,1043805000.0
cp00068,01/05/2025,Điện nước văn phòng,113117000.0
CP00069,01/05/2025,Khấu hao thiết bị,308220000.0
cp00070,05/01/2025,Chi phí khác,148838000.0
cp00071,01/06/2025,Lương nhân viên,7284042000.0
cp00072,01/06/2025,Thuê mặt bằng,1729743000.0
cp00073,01/06/2025,Marketing,2046009000.0
CP00074,01/06/2025,Vận chuyển,2119358000.0
cp00075,01/06/2025,Điện nước văn phòng,102491000.0
cp00076,01/06/2025,Khấu hao thiết bị,296972000.0
cp00077,01/06/2025,Chi phí khác,49658000.0
cp00078,01/07/2025,Lương nhân viên,5433132000.0
cp00079,01/07/2025,Thuê mặt bằng,1219890000.0
cp00080,01/07/2025,Marketing,2056675000.0
cp00081,01/07/2025,Vận chuyển,2818444000.0
cp00082,07/01/2025,Điện nước văn phòng,93819000.0
cp00083,07/01/2025,Khấu hao thiết bị,302361000.0
cp00084,01/07/2025,Chi phí khác,171872000.0
cp00085,01/08/2025,Lương nhân viên,7020938000.0
CP00086,01/08/2025,Thuê mặt bằng,1404625000.0
cp00087,01/08/2025,Marketing,2006308000.0
CP00088,01/08/2025,Vận chuyển,2618346000.0
cp00089,2025-08,Điện nước văn phòng,105459000.0
cp00090,08/01/2025,Khấu hao thiết bị,222159000.0
cp00091,01/08/2025,Chi phí khác,92460000.0
cp00092,01/09/2025,Lương nhân viên,5571122000.0
cp00093,01/09/2025,Thuê mặt bằng,1920239000.0
cp00094,01/09/2025,Marketing,2243884000.0
cp00095,01/09/2025,Vận chuyển,1571642000.0
CP00096,01/09/2025,Điện nước văn phòng,128767000.0
cp00097,01/09/2025,Khấu hao thiết bị,283065000.0
