MaHoaDon,MaDonHang,NgayXuatHoaDon,HanThanhToan,SoTien,DaThu,ConLai
hd000001,dh002372,04/08/2024,30/10/2024,265003700.0,265003700.0,0.0
HD000002,dh002391,03/08/2024,10/08/2024,14160000.0,14160000.0,0.0
hd000003,dh003373,01/08/2024,11/10/2024,353526800.0,353526800.0,0.0
hd000004,dh003189,03/08/2024,29/09/2024,148233900.0,23059700.0,125174200.0
hd000005,dh011709,03/08/2024,2024-08-17,777600.0,777600.0,0.0
hd000006,DH011191,04/08/2024,06/10/2024,606274400.0,606274400.0,0.0
HD000007,dh000919,04/08/2024,26/09/2024,111696500.0,111696500.0,0.0
hd000008,dh011881,02/08/2024,06/10/2024,66745900.0,39548900.0,27197000.0
hd000009,dh001763,05/08/2024,18/08/2024,889700.0,889700.0,0.0
hd000010,DH000902,02/08/2024,15/08/2024,1026000.0,1026000.0,0.0
hd000011,dh008205,04/08/2024,11/08/2024,209100.0,209100.0,0.0
hd000012,dh002966,02/08/2024,16/09/2024,369688300.0,369688300.0,0.0
hd000013,dh005427,03/08/2024,08/10/2024,396123400.0,285831700.0,110291700.0
hd000014,dh007874,04/08/2024,16/08/2024,5887400.0,5887400.0,0.0
hd000015,dh001490,05/08/2024,16/08/2024,233100.0,233100.0,0.0
hd000016,dh002788,03/08/2024,25/09/2024,409787100.0,409787100.0,0.0
hd000017,dh004798,03/08/2024,13/08/2024,1639800.0,1639800.0,0.0
HD000018,dh001380,05/08/2024,28/10/2024,517604900.0,157193100.0,360411800.0
HD000019,dh008582,03/08/2024,06/10/2024,410076600.0,410076600.0,0.0
hd000020,dh008834,03/08/2024,10/08/2024,1076000.0,1076000.0,0.0
HD000021,dh009431,02/08/2024,22/10/2024,83036000.0,83036000.0,0.0
hd000022,dh007222,05/08/2024,07/10/2024,432753000.0,432753000.0,0.0
HD000023,dh000531,04/08/2024,18/08/2024,2042500.0,2042500.0,0.0
HD000024,dh008978,04/08/2024,14/08/2024,5799000.0,5799000.0,0.0
hd000025,dh001622,04/08/2024,17/08/2024,4315300.0,4315300.0,0.0
hd000026,dh006848,03/08/2024,01/11/2024,461148600.0,461148600.0,0.0
HD000027,dh004670,05/08/2024,27/09/2024,73096500.0,73096500.0,0.0
hd000028,dh006201,02/08/2024,23/10/2024,140863400.0,27988700.0,112874700.0
HD000029,DH900008,05/08/2024,16/10/2024,292925900.0,292925900.0,0.0
hd000030,dh008442,02/08/2024,15/08/2024,4076600.0,4076600.0,0.0
HD000031,dh001419,06/08/2024,21/08/2024,326800.0,326800.0,0.0
hd000032,dh004654,05/08/2024,15/08/2024,2641000.0,2641000.0,0.0
hd000033,dh001736,03/08/2024,29/09/2024,140885400.0,59539300.0,81346100.0
hd000034,,04/08/2024,03/10/2024,311239800.0,311239800.0,0.0
HD000035,dh002555,06/08/2024,23/09/2024,213761500.0,198216100.0,15545400.0
HD000036,dh009344,03/08/2024,29/10/2024,360835000.0,360835000.0,0.0
hd000037,dh003211,03/08/2024,30/09/2024,84227800.0,57608700.0,26619100.0
hd000038,dh001558,05/08/2024,16/08/2024,10179000.0,10179000.0,0.0
HD000039,dh010999,06/08/2024,26/10/2024,341923800.0,341923800.0,0.0
hd000040,dh004667,08/03/2024,18/09/2024,303467800.0,303467800.0,0.0
hd000041,DH008322,06/08/2024,13/08/2024,1390000.0,1390000.0,0.0
hd000042,dh010698,05/08/2024,12/08/2024,1072000.0,1072000.0,0.0
hd000043,dh006452,07/08/2024,17/08/2024,4822800.0,4822800.0,0.0
hd000044,dh007828,04/08/2024,10/02/2024,167949600.0,167949600.0,0.0
hd000045,dh004967,05/08/2024,17/10/2024,374204900.0,374204900.0,0.0
hd000046,dh009144,07/08/2024,07/10/2024,205538000.0,186999200.0,18538800.0
HD000047,dh010927,06/08/2024,14/10/2024,655978700.0,224119300.0,431859400.0
hd000048,dh008531,07/08/2024,16/08/2024,4196000.0,1951700.0,2244300.0
hd000049,dh006572,05/08/2024,14/08/2024,299700.0,299700.0,0.0
hd000050,dh006269,05/08/2024,16/08/2024,1533600.0,1533600.0,0.0
hd000051,dh006497,05/08/2024,07/10/2024,825811400.0,353989500.0,471821900.0
hd000052,dh009151,07/08/2024,20/10/2024,130467800.0,130467800.0,0.0
hd000053,dh002981,05/08/2024,17/08/2024,979200.0,979200.0,0.0
hd000054,dh011275,07/08/2024,14/08/2024,2786800.0,2786800.0,0.0
hd000055,DH002452,06/08/2024,10/10/2024,254712000.0,254712000.0,0.0
hd000056,dh001813,05/08/2024,12/08/2024,2556000.0,2556000.0,0.0
hd000057,,07/08/2024,31/10/2024,194964800.0,194964800.0,0.0
hd000058,dh000589,07/08/2024,17/08/2024,4832000.0,4832000.0,0.0
hd000059,dh004223,08/08/2024,27/09/2024,471600500.0,233546200.0,238054300.0
HD000060,dh005488,08/08/2024,12/10/2024,317111600.0,140624200.0,176487400.0
hd000061,,06/08/2024,19/08/2024,9405000.0,994000.0,8411000.0
hd000062,DH900006,08/08/2024,18/08/2024,1100800.0,1100800.0,0.0
