MaDonMuaHang,MaNhaCungCap,MaSanPham,NgayDatHang,SoLuong,DonGiaMua
PO003181,NCC011,SP0091,06/10/2024,407,43900.0
PO002141,NCC039,SP0127,11/07/2026,326,30800.0
PO001563,NCC043,SP0058,22/03/2026,317,30000.0
PO001687,NCC045,SP0043,21/02/2025,229,131400.0
PO002271,NCC013,SP0013,23/03/2026,774,63300.0
PO002201,NCC032,SP0010,09/04/2025,85,497200.0
PO001679,NCC023,SP0144,23/12/2024,256,129700.0
PO003141,NCC028,SP0146,23/03/2025,32,69700.0
PO001557,NCC027,SP0097,09/07/2026,568,66900.0
PO002778,NCC007,SP0114,26/12/2025,576,65000.0
PO001972,NCC002,SP0181,07/06/2025,220,508300.0
PO001646,NCC004,SP0080,22/01/2026,869,117000.0
PO001399,NCC044,SP0184,30/07/2025,435,159600.0
PO001685,NCC031,SP0086,21/03/2025,115,118300.0
PO002126,NCC016,SP0079,2026-07-06,542,20900.0
PO002466,NCC026,,20/05/2025,642,56100.0
PO000982,NCC039,SP0201,17/05/2025,861,499500.0
PO003448,NCC005,SP0153,05/06/2025,700,98700.0
PO000478,NCC031,SP0210,12/08/2025,367,18100.0
PO000966,NCC043,SP0172,12/02/2025,511,402900.0
PO000429,NCC037,SP0142,07/01/2026,690,337200.0
PO000625,NCC026,SP0115,23/04/2026,264,18900.0
PO001047,NCC037,SP0220,10/27/2024,945,40400.0
PO002906,NCC004,SP0105,06/11/2024,89,128400.0
PO000741,NCC040,SP0064,20/06/2025,531,128300.0
PO003491,NCC033,SP0171,20/07/2026,833,20400.0
PO000333,NCC003,SP0125,30/08/2024,83,143300.0
PO001900,NCC022,SP0214,16/08/2024,285,38800.0
PO002889,NCC023,SP0077,12/03/2025,247,90000.0
PO002018,NCC007,SP0039,20/12/2025,706,15400.0
PO001701,NCC045,SP0033,2025-04-27,389,64000.0
PO002853,NCC039,SP0170,17/09/2024,958,159700.0
PO000169,NCC034,SP0206,22/06/2025,953,36600.0
PO002376,NCC042,SP0169,22/06/2026,190,466100.0
PO002495,NCC026,SP0020,23/04/2026,596,58400.0
PO000841,NCC010,SP0197,14/02/2025,35,589500.0
PO002563,NCC001,SP0034,20/05/2026,694,130900.0
PO002866,NCC020,SP0071,30/09/2024,288,523700.0
PO001684,NCC003,SP0105,23/10/2024,864,125200.0
PO000903,NCC030,SP0016,10/05/2026,890,640300.0
PO002310,NCC030,,05/07/2026,193,773800.0
PO002577,NCC034,SP0071,19/12/2024,361,470100.0
PO002400,NCC033,SP0114,13/04/2026,496,61700.0
PO002642,NCC002,SP0112,2024-08-20,91,111400.0
PO000090,NCC013,SP0152,07/06/2025,949,119900.0
PO002687,NCC022,SP0110,07/01/2026,976,42400.0
PO000041,NCC033,SP0156,15/07/2026,194,81200.0
PO001581,NCC021,SP0104,11/08/2025,267,801200.0
PO001145,NCC033,SP0001,29/12/2025,986,30000.0
PO002270,NCC002,SP0035,30/12/2024,652,613400.0
