MaSanPham,Thang,TonDauKy,Nhap,Xuat,HaoHut,TonCuoiKy
SP0001,2024-08,90.0,63.0,21.0,0.0,132.0
SP0002,2024-08,364000.0,250000.0,233000.0,2000.0,379000.0
SP0003,2024-08,0.4,0.36,0.38,0.0,0.38
SP9509,2024-08,84.0,2.0,0.0,0.0,86.0
SP0005,2024-08,0.28,0.14,0.14,0.0,0.28
SP0006,2024-08,473.0,152.0,144.0,0.0,481.0
SP0007,2024-08,295000.0,205000.0,214000.0,2000.0,284000.0
SP0008,2024-08,446.0,322.0,287.0,0.0,481.0
SP0009,2024-08,372.0,291.0,264.0,0.0,399.0
SP0010,2024-08,71.0,325.0,311.0,1.0,84.0
SP0011,2024-08,466.0,286.0,254.0,1.0,497.0
SP0012,2024-08,221.0,339.0,345.0,6.0,209.0
SP0013,2024-08,217.0,40.0,14.0,0.0,243.0
SP0014,2024-08,480.0,237.0,234.0,0.0,483.0
SP0015,2024-08,254.0,10.0,0.0,0.0,264.0
SP0016,2024-08,104.0,339.0,290.0,0.0,153.0
SP0017,2024-08,434.0,289.0,301.0,1.0,421.0
SP0018,2024-08,140.0,71.0,23.0,0.0,188.0
SP0019,2024-08,425.0,159.0,153.0,2.0,429.0
SP0020,2024-08,470.0,12.0,1.0,0.0,481.0
SP0021,2024-08,359.0,225.0,201.0,1.0,382.0
SP0022,2024-08,0.42,0.0,0.0,0.0,0.43
SP0023,2024-08,115.0,368.0,316.0,3.0,164.0
SP0024,2024-08,168.0,60.0,20.0,0.0,208.0
SP0025,2024-08,132.0,237.0,225.0,2.0,142.0
SP0026,2024-08,52.0,14.0,1.0,0.0,65.0
SP0027,2024-08,470.0,344.0,324.0,3.0,487.0
SP0028,2024-08,145.0,193.0,181.0,2.0,155.0
SP0029,2024-08,266.0,10.0,0.0,0.0,276.0
SP0030,2024-08,176.0,298.0,272.0,0.0,202.0
SP0031,2024-08,257.0,187.0,178.0,1.0,265.0
SP0032,2024-08,482.0,32.0,9.0,0.0,505.0
SP0033,2024-08,255.0,234.0,232.0,4.0,253.0
SP0034,2024-08,446.0,313.0,284.0,3.0,472.0
SP0035,2024-08,92.0,232.0,224.0,0.0,100.0
,2024-08,282.0,15.0,1.0,0.0,296.0
SP0037,2024-08,316.0,249.0,260.0,2.0,303.0
SP0038,2024-08,404.0,357.0,344.0,1.0,416.0
SP0039,2024-08,221.0,10.0,0.0,0.0,231.0
SP0040,2024-08,428000.0,24000.0,7000.0,0.0,445000.0
SP0041,2024-08,154000.0,343000.0,293000.0,0.0,204000.0
SP0042,2024-08,229.0,332.0,300.0,6.0,255.0
SP0043,2024-08,486.0,271.0,241.0,1.0,515.0
SP0044,2024-08,344.0,198.0,201.0,1.0,340.0
SP0045,2024-08,156000.0,223000.0,213000.0,2000.0,164000.0
SP0046,2024-08,64.0,289.0,259.0,3.0,91.0
SP0047,2024-08,0.23,0.16,0.16,0.0,0.23
SP0048,2024-08,244.0,216.0,212.0,1.0,247.0
,2024-08,0.05,0.01,0.0,0.0,0.06
SP0050,2024-08,122.0,17.0,0.0,0.0,139.0
SP0051,2024-08,172.0,72.0,21.0,1.0,222.0
SP0052,2024-08,251.0,298.0,311.0,1.0,237.0
SP0053,2024-08,0.44,0.37,0.38,0.0,0.42
SP0054,2024-08,284.0,32.0,18.0,1.0,297.0
SP0055,2024-08,339.0,58.0,23.0,0.0,374.0
,2024-08,290.0,206.0,206.0,1.0,289.0
SP0057,2024-08,197.0,10.0,1.0,0.0,206.0
SP0058,2024-08,345.0,20.0,10.0,0.0,355.0
SP0059,2024-08,346.0,8.0,1.0,0.0,353.0
SP0060,2024-08,305.0,32.0,13.0,0.0,324.0
SP0061,2024-08,482.0,188.0,177.0,1.0,492.0
SP0062,2024-08,337.0,323.0,290.0,6.0,364.0
SP0063,2024-08,418.0,6.0,0.0,0.0,424.0
SP0064,2024-08,127.0,35.0,12.0,0.0,150.0
SP0065,2024-08,406.0,319.0,293.0,2.0,430.0
SP0066,2024-08,147.0,223.0,216.0,1.0,153.0
SP0067,2024-08,177.0,378.0,347.0,1.0,207.0
SP0068,2024-08,375.0,56.0,32.0,0.0,399.0
SP0069,2024-08,175.0,14.0,0.0,0.0,189.0
SP0070,2024-08,143.0,345.0,348.0,5.0,135.0
SP0071,2024-08,0.45,0.32,0.29,0.0,0.48
SP0072,2024-08,286.0,183.0,166.0,0.0,303.0
SP0073,2024-08,190.0,4.0,0.0,0.0,194.0
SP0074,2024-08,354.0,70.0,38.0,0.0,386.0
SP0075,2024-08,209.0,47.0,15.0,0.0,241.0
SP0076,2024-08,106.0,218.0,187.0,1.0,136.0
SP0077,2024-08,139.0,350.0,335.0,4.0,150.0
SP0078,2024-08,353000.0,247000.0,227000.0,1000.0,372000.0
SP0079,2024-08,246.0,289.0,246.0,2.0,287.0
,2024-08,270.0,38.0,18.0,0.0,290.0
SP0081,2024-08,411.0,40.0,18.0,0.0,433.0
SP0082,2024-08,196.0,0.0,0.0,0.0,196.0
SP0083,2024-08,291.0,15.0,1.0,0.0,305.0
SP0084,2024-08,303.0,173.0,155.0,3.0,318.0
SP0085,2024-08,85.0,70.0,35.0,1.0,119.0
SP0086,2024-08,480.0,7.0,0.0,0.0,487.0
SP0087,2024-08,351.0,46.0,25.0,1.0,371.0
SP0088,2024-08,335.0,320.0,315.0,2.0,338.0
SP0089,2024-08,225.0,235.0,215.0,2.0,243.0
SP0090,2024-08,322.0,296.0,308.0,0.0,310.0
SP0091,2024-08,124.0,5.0,0.0,0.0,129.0
SP0092,2024-08,355.0,312.0,269.0,3.0,395.0
SP9506,2024-08,364000.0,219000.0,196000.0,1000.0,386000.0
SP0094,2024-08,414.0,32.0,9.0,0.0,437.0
SP0095,2024-08,163.0,252.0,260.0,3.0,152.0
SP0096,2024-08,456.0,165.0,145.0,1.0,475.0
SP0097,2024-08,305.0,223.0,204.0,2.0,322.0
SP0098,2024-08,353.0,75.0,34.0,1.0,393.0
SP0099,2024-08,247.0,305.0,313.0,4.0,235.0
SP0100,2024-08,127.0,30.0,16.0,0.0,141.0
SP0101,2024-08,250.0,259.0,244.0,1.0,264.0
SP0102,2024-08,198.0,53.0,17.0,0.0,234.0
SP0103,2024-08,203.0,354.0,306.0,5.0,246.0
SP9504,2024-08,228.0,250.0,228.0,0.0,250.0
SP0105,2024-08,443.0,52.0,17.0,0.0,478.0
SP0106,2024-08,0.22,0.36,0.34,0.01,0.23
SP0107,2024-08,257.0,174.0,155.0,0.0,276.0
SP0108,2024-08,63.0,151.0,129.0,1.0,84.0
SP0109,2024-08,200.0,70.0,21.0,0.0,249.0
SP0110,2024-08,207.0,255.0,248.0,2.0,212.0
SP0111,2024-08,209.0,33.0,19.0,0.0,223.0
SP0112,2024-08,289.0,376.0,319.0,2.0,344.0
SP0113,2024-08,156.0,194.0,176.0,2.0,172.0
SP0114,2024-08,186.0,192.0,163.0,3.0,212.0
SP0115,2024-08,447.0,352.0,312.0,2.0,485.0
SP0116,2024-08,126.0,291.0,265.0,1.0,151.0
SP0117,2024-08,56.0,246.0,212.0,2.0,88.0
SP0118,2024-08,241.0,227.0,221.0,3.0,244.0
SP0119,2024-08,416.0,14.0,0.0,0.0,430.0
SP0120,2024-08,272.0,194.0,194.0,1.0,271.0
SP0121,2024-08,299.0,342.0,356.0,2.0,283.0
SP0122,2024-08,347.0,56.0,23.0,1.0,379.0
SP0123,2024-08,221.0,202.0,206.0,1.0,216.0
SP0124,2024-08,387.0,323.0,278.0,2.0,430.0
SP0125,2024-08,223.0,41.0,20.0,0.0,244.0
SP0126,2024-08,417.0,8.0,1.0,0.0,424.0
SP0127,2024-08,379.0,268.0,240.0,3.0,404.0
SP0128,2024-08,139.0,12.0,0.0,0.0,151.0
SP0129,2024-08,406.0,227.0,208.0,1.0,424.0
SP0130,2024-08,328.0,257.0,247.0,4.0,334.0
SP0131,2024-08,90.0,270.0,230.0,3.0,127.0
SP0132,2024-08,52.0,19.0,2.0,0.0,69.0
SP0133,2024-08,0.08,0.16,0.16,0.0,0.08
SP0134,2024-08,90.0,347.0,302.0,5.0,130.0
SP0135,2024-08,425.0,226.0,210.0,1.0,440.0
SP0136,2024-08,190.0,351.0,308.0,2.0,231.0
SP0137,2024-08,178.0,345.0,358.0,1.0,164.0
SP0138,2024-08,151.0,252.0,225.0,1.0,177.0
SP0139,2024-08,120.0,184.0,167.0,2.0,135.0
SP0140,2024-08,134.0,263.0,265.0,3.0,129.0
SP0141,2024-08,309.0,282.0,277.0,3.0,311.0
SP0142,2024-08,454.0,249.0,256.0,0.0,447.0
SP0143,2024-08,432.0,234.0,239.0,3.0,424.0
SP0144,2024-08,143.0,238.0,241.0,1.0,139.0
SP0145,2024-08,72.0,67.0,34.0,1.0,104.0
SP0146,2024-08,178.0,287.0,249.0,3.0,213.0
SP0147,2024-08,167.0,62.0,22.0,0.0,207.0
SP0148,2024-08,440.0,350.0,318.0,1.0,471.0
SP0149,2024-08,448.0,274.0,249.0,1.0,472.0
SP0150,2024-08,275.0,296.0,259.0,5.0,307.0
SP0151,2024-08,130.0,330.0,319.0,1.0,140.0
SP0152,2024-08,197.0,265.0,251.0,5.0,206.0
SP0153,2024-08,252.0,175.0,164.0,2.0,261.0
SP0154,2024-08,184.0,219.0,193.0,1.0,209.0
SP0155,2024-08,363.0,163.0,151.0,3.0,372.0
SP0156,2024-08,443.0,289.0,250.0,3.0,479.0
SP0157,2024-08,327.0,215.0,209.0,2.0,331.0
SP0158,2024-08,304.0,204.0,211.0,2.0,295.0
SP0159,2024-08,202.0,268.0,228.0,0.0,242.0
SP0160,2024-08,500.0,61.0,18.0,0.0,543.0
SP0161,2024-08,283.0,284.0,293.0,1.0,273.0
SP0162,2024-08,134.0,28.0,13.0,0.0,149.0
SP0163,2024-08,89.0,184.0,191.0,2.0,80.0
SP0164,2024-08,169.0,242.0,242.0,1.0,168.0
SP0165,2024-08,298.0,62.0,22.0,0.0,338.0
SP0166,2024-08,119.0,7.0,0.0,0.0,126.0
SP0167,2024-08,196.0,147.0,147.0,1.0,195.0
SP0168,2024-08,0.29,0.34,0.34,0.0,0.28
SP0169,2024-08,265.0,39.0,18.0,0.0,286.0
SP0170,2024-08,129.0,40.0,12.0,0.0,157.0
SP0171,2024-08,267.0,243.0,221.0,2.0,287.0
SP0172,2024-08,336.0,231.0,237.0,1.0,329.0
,2024-08,370.0,339.0,306.0,2.0,401.0
SP0174,2024-08,475.0,251.0,247.0,0.0,479.0
SP0175,2024-08,63000.0,205000.0,174000.0,1000.0,93000.0
SP0176,2024-08,250000.0,184000.0,188000.0,1000.0,245000.0
SP0177,2024-08,432.0,230.0,226.0,3.0,433.0
SP0178,2024-08,304.0,46.0,19.0,1.0,330.0
SP0179,2024-08,350.0,334.0,335.0,2.0,347.0
SP0180,2024-08,406.0,357.0,326.0,0.0,437.0
SP9505,2024-08,352.0,53.0,24.0,0.0,381.0
SP0182,2024-08,205.0,28.0,8.0,0.0,225.0
SP0183,2024-08,489.0,242.0,206.0,2.0,523.0
SP0184,2024-08,206.0,248.0,255.0,5.0,194.0
SP0185,2024-08,118.0,196.0,169.0,1.0,144.0
SP0186,2024-08,164.0,302.0,276.0,1.0,189.0
SP0187,2024-08,90.0,188.0,165.0,2.0,111.0
SP0188,2024-08,86.0,347.0,346.0,2.0,85.0
SP0189,2024-08,446.0,330.0,319.0,5.0,452.0
SP0190,2024-08,169.0,277.0,274.0,3.0,169.0
SP0191,2024-08,427.0,279.0,241.0,2.0,463.0
SP0192,2024-08,119.0,342.0,318.0,1.0,142.0
SP0193,2024-08,425.0,301.0,273.0,1.0,452.0
SP0194,2024-08,200.0,244.0,244.0,5.0,195.0
,2024-08,56.0,344.0,355.0,4.0,41.0
SP9501,2024-08,480.0,30.0,9.0,0.0,501.0
SP0197,2024-08,435000.0,186000.0,184000.0,0.0,437000.0
SP0198,2024-08,355.0,36.0,13.0,0.0,378.0
SP0199,2024-08,415.0,60.0,26.0,1.0,448.0
SP0200,2024-08,0.2,0.22,0.2,0.0,0.21
SP0201,2024-08,141.0,176.0,175.0,0.0,142.0
SP0202,2024-08,432.0,219.0,196.0,0.0,455.0
SP0203,2024-08,110.0,281.0,259.0,0.0,132.0
SP0204,2024-08,211.0,65.0,23.0,0.0,253.0
SP0205,2024-08,71.0,200.0,186.0,0.0,85.0
SP0206,2024-08,224.0,148.0,155.0,0.0,217.0
SP0207,2024-08,432.0,155.0,152.0,1.0,434.0
SP0208,2024-08,85.0,287.0,263.0,4.0,105.0
SP0209,2024-08,308.0,336.0,303.0,1.0,340.0
SP0210,2024-08,50.0,173.0,163.0,1.0,59.0
SP0211,2024-08,274.0,337.0,322.0,5.0,284.0
SP0212,2024-08,194.0,16.0,0.0,0.0,210.0
SP0213,2024-08,256.0,363.0,352.0,2.0,265.0
SP0214,2024-08,160.0,178.0,171.0,1.0,166.0
SP0215,2024-08,105.0,249.0,251.0,2.0,101.0
SP0216,2024-08,338.0,365.0,371.0,6.0,326.0
SP0217,2024-08,110.0,333.0,331.0,4.0,108.0
SP0218,2024-08,246.0,220.0,226.0,2.0,238.0
SP9505,2024-08,243.0,212.0,194.0,3.0,258.0
SP0220,2024-08,246.0,302.0,283.0,3.0,262.0
SP0001,2024-09,132.0,72.0,22.0,0.0,182.0
SP0002,2024-09,379.0,277.0,263.0,1.0,392.0
SP0003,2024-09,380.0,264.0,270.0,1.0,373.0
SP0004,2024-09,86.0,10.0,1.0,0.0,95.0
SP0005,2024-09,277.0,316.0,284.0,2.0,307.0
SP0006,2024-09,0.48,0.22,0.22,0.0,0.48
SP0007,2024-09,284.0,369.0,377.0,4.0,272.0
SP0008,2024-09,481.0,169.0,162.0,0.0,488.0
SP0009,2024-09,399.0,295.0,284.0,0.0,410.0
SP0010,2024-09,84.0,225.0,229.0,1.0,79.0
SP0011,2024-09,497.0,194.0,170.0,2.0,519.0
SP0012,2024-09,209.0,368.0,342.0,7.0,228.0
SP0013,2024-09,243.0,48.0,22.0,0.0,269.0
SP0014,2024-09,483.0,338.0,326.0,2.0,493.0
SP0015,2024-09,264.0,4.0,0.0,0.0,268.0
SP0016,2024-09,153.0,191.0,163.0,0.0,181.0
SP0017,2024-09,421.0,239.0,216.0,1.0,443.0
SP0018,2024-09,188.0,45.0,20.0,0.0,213.0
SP0019,2024-09,429.0,341.0,337.0,2.0,431.0
SP0020,2024-09,481.0,16.0,0.0,0.0,497.0
SP0021,2024-09,382.0,313.0,284.0,3.0,408.0
SP0022,2024-09,429.0,12.0,1.0,0.0,440.0
SP0023,2024-09,164.0,160.0,160.0,2.0,162.0
SP0024,2024-09,208.0,79.0,35.0,1.0,251.0
SP0025,2024-09,142.0,209.0,209.0,1.0,141.0
SP0026,2024-09,65.0,3.0,0.0,0.0,68.0
SP0027,2024-09,487.0,351.0,339.0,1.0,498.0
SP0028,2024-09,155.0,224.0,214.0,2.0,163.0
SP0029,2024-09,276.0,10.0,1.0,0.0,285.0
SP0030,2024-09,202.0,178.0,178.0,1.0,201.0
SP0031,2024-09,265.0,212.0,202.0,1.0,274.0
SP0032,2024-09,505.0,54.0,20.0,0.0,539.0
SP0033,2024-09,0.25,0.29,0.27,0.0,0.27
SP0034,2024-09,472.0,194.0,198.0,1.0,467.0
SP0035,2024-09,100.0,371.0,385.0,1.0,85.0
SP0036,2024-09,296.0,18.0,1.0,0.0,313.0
SP0037,2024-09,303.0,396.0,380.0,4.0,315.0
SP0038,2024-09,416.0,259.0,224.0,1.0,450.0
SP0039,2024-09,231.0,13.0,1.0,0.0,243.0
SP0040,2024-09,445.0,63.0,31.0,1.0,476.0
SP0041,2024-09,0.2,0.3,0.29,0.0,0.21
SP0042,2024-09,255.0,351.0,361.0,3.0,242.0
SP0043,2024-09,515.0,380.0,385.0,1.0,509.0
SP0044,2024-09,340.0,298.0,272.0,1.0,365.0
SP0045,2024-09,164.0,340.0,322.0,4.0,178.0
SP0046,2024-09,91.0,192.0,165.0,1.0,117.0
SP0047,2024-09,227.0,242.0,206.0,4.0,259.0
SP0048,2024-09,247.0,347.0,317.0,1.0,276.0
SP0049,2024-09,61.0,16.0,1.0,0.0,76.0
SP0050,2024-09,139.0,7.0,0.0,0.0,146.0
SP0051,2024-09,222.0,60.0,24.0,1.0,257.0
SP0052,2024-09,237.0,225.0,218.0,2.0,242.0
SP0053,2024-09,421.0,166.0,170.0,3.0,414.0
SP0054,2024-09,297.0,61.0,31.0,1.0,326.0
SP0055,2024-09,374.0,69.0,34.0,1.0,408.0
SP0056,2024-09,289.0,324.0,286.0,3.0,324.0
SP0057,2024-09,206.0,2.0,0.0,0.0,208.0
SP0058,2024-09,355.0,43.0,18.0,0.0,380.0
SP0059,2024-09,353.0,2.0,0.0,0.0,355.0
SP0060,2024-09,324.0,55.0,27.0,0.0,352.0
SP0061,2024-09,492.0,221.0,190.0,1.0,522.0
SP0062,2024-09,364000.0,226000.0,218000.0,3000.0,369000.0
SP0063,2024-09,424.0,10.0,0.0,0.0,434.0
SP0064,2024-09,150.0,33.0,13.0,0.0,170.0
SP0065,2024-09,430.0,202.0,192.0,0.0,440.0
SP0066,2024-09,153.0,189.0,191.0,0.0,151.0
SP0067,2024-09,207.0,273.0,268.0,1.0,211.0
SP0068,2024-09,399.0,44.0,19.0,0.0,424.0
SP0069,2024-09,189.0,3.0,0.0,0.0,192.0
SP0070,2024-09,135.0,261.0,256.0,3.0,137.0
SP0071,2024-09,477.0,310.0,301.0,1.0,485.0
SP0072,2024-09,303.0,368.0,324.0,1.0,346.0
SP0073,2024-09,194.0,3.0,0.0,0.0,197.0
SP0074,2024-09,386.0,33.0,19.0,0.0,400.0
SP0075,2024-09,241.0,73.0,29.0,1.0,284.0
SP0076,2024-09,136.0,173.0,163.0,1.0,145.0
SP9506,2024-09,150.0,166.0,145.0,3.0,168.0
SP9509,2024-09,372000.0,387000.0,331000.0,6000.0,422000.0
SP0079,2024-09,287.0,345.0,303.0,1.0,328.0
SP0080,2024-09,290.0,67.0,37.0,0.0,320.0
SP0081,2024-09,433.0,41.0,18.0,0.0,456.0
SP0082,2024-09,196.0,4.0,0.0,0.0,200.0
SP0083,2024-09,305.0,17.0,1.0,0.0,321.0
SP0084,2024-09,318.0,332.0,304.0,6.0,340.0
SP0085,2024-09,119.0,20.0,8.0,0.0,131.0
SP0086,2024-09,487.0,19.0,0.0,0.0,506.0
SP0087,2024-09,371.0,36.0,11.0,0.0,396.0
SP0088,2024-09,338.0,335.0,340.0,4.0,329.0
SP9506,2024-09,243.0,199.0,169.0,1.0,272.0
SP0090,2024-09,310.0,345.0,338.0,0.0,317.0
SP0091,2024-09,129.0,2.0,0.0,0.0,131.0
SP0092,2024-09,395.0,385.0,327.0,2.0,451.0
SP0093,2024-09,386.0,376.0,380.0,1.0,381.0
SP0094,2024-09,437.0,41.0,17.0,1.0,460.0
SP0095,2024-09,152.0,295.0,261.0,4.0,182.0
SP0096,2024-09,475.0,287.0,285.0,1.0,476.0
SP0097,2024-09,322.0,179.0,156.0,2.0,343.0
SP0098,2024-09,0.39,0.04,0.02,0.0,0.41
SP0099,2024-09,235.0,373.0,349.0,4.0,255.0
SP0100,2024-09,141.0,49.0,15.0,0.0,175.0
SP0101,2024-09,264.0,214.0,186.0,1.0,291.0
SP0102,2024-09,234.0,71.0,39.0,0.0,266.0
SP0103,2024-09,0.25,0.36,0.32,0.0,0.28
SP0104,2024-09,250.0,159.0,147.0,1.0,261.0
SP0105,2024-09,478.0,21.0,7.0,0.0,492.0
SP0106,2024-09,231.0,227.0,196.0,1.0,261.0
SP0107,2024-09,276.0,329.0,287.0,1.0,317.0
SP0108,2024-09,84.0,286.0,298.0,4.0,68.0
SP0109,2024-09,249.0,28.0,11.0,0.0,266.0
,2024-09,212.0,258.0,228.0,2.0,240.0
SP0111,2024-09,223.0,54.0,19.0,0.0,258.0
SP0112,2024-09,344.0,184.0,187.0,1.0,340.0
SP0113,2024-09,172.0,203.0,193.0,1.0,181.0
SP0114,2024-09,212.0,281.0,252.0,2.0,239.0
SP0115,2024-09,485.0,367.0,345.0,1.0,506.0
SP0116,2024-09,151.0,239.0,232.0,0.0,158.0
SP0117,2024-09,88.0,301.0,256.0,3.0,130.0
SP0118,2024-09,0.24,0.17,0.16,0.0,0.25
SP0119,2024-09,430.0,18.0,1.0,0.0,447.0
SP0120,2024-09,271.0,186.0,159.0,2.0,296.0
SP0121,2024-09,0.28,0.18,0.18,0.0,0.28
SP0122,2024-09,379.0,51.0,28.0,0.0,402.0
SP0123,2024-09,216.0,297.0,309.0,3.0,201.0
SP0124,2024-09,430.0,266.0,238.0,3.0,455.0
SP0125,2024-09,244.0,28.0,11.0,0.0,261.0
SP0126,2024-09,424.0,19.0,1.0,0.0,442.0
SP0127,2024-09,404.0,154.0,131.0,0.0,427.0
SP0128,2024-09,151.0,17.0,1.0,0.0,167.0
SP0129,2024-09,424.0,300.0,281.0,4.0,439.0
SP0130,2024-09,334.0,230.0,219.0,3.0,342.0
SP0131,2024-09,127.0,331.0,283.0,2.0,173.0
SP0132,2024-09,69.0,7.0,0.0,0.0,76.0
SP0133,2024-09,84.0,201.0,177.0,2.0,106.0
SP0134,2024-09,130.0,371.0,335.0,2.0,164.0
SP0135,2024-09,440.0,287.0,281.0,1.0,445.0
SP0136,2024-09,231.0,193.0,185.0,0.0,239.0
SP0137,2024-09,164.0,301.0,286.0,1.0,178.0
SP0138,2024-09,177.0,184.0,179.0,1.0,181.0
SP0139,2024-09,135.0,156.0,140.0,1.0,150.0
SP0140,2024-09,129.0,379.0,334.0,4.0,170.0
SP0141,2024-09,311.0,290.0,301.0,3.0,297.0
SP0142,2024-09,447.0,309.0,323.0,0.0,433.0
SP0143,2024-09,424.0,305.0,293.0,1.0,435.0
SP0144,2024-09,139.0,253.0,232.0,1.0,159.0
SP0145,2024-09,104.0,66.0,29.0,1.0,140.0
SP0146,2024-09,213.0,397.0,365.0,6.0,239.0
SP0147,2024-09,207.0,24.0,13.0,0.0,218.0
SP0148,2024-09,471.0,369.0,314.0,1.0,525.0
SP0149,2024-09,472.0,190.0,173.0,0.0,489.0
SP0150,2024-09,307.0,290.0,284.0,4.0,309.0
SP0151,2024-09,140.0,184.0,185.0,2.0,137.0
SP9501,2024-09,0.21,0.3,0.3,0.0,0.2
SP0153,2024-09,261.0,389.0,377.0,2.0,271.0
SP0154,2024-09,209.0,200.0,191.0,1.0,217.0
SP0155,2024-09,372.0,287.0,286.0,2.0,371.0
SP0156,2024-09,479.0,378.0,388.0,3.0,466.0
SP0157,2024-09,331.0,180.0,162.0,3.0,346.0
SP0158,2024-09,295.0,280.0,264.0,3.0,308.0
SP0159,2024-09,242.0,355.0,343.0,1.0,253.0
SP0160,2024-09,543.0,33.0,19.0,0.0,557.0
SP0161,2024-09,273.0,194.0,201.0,1.0,265.0
SP0162,2024-09,149.0,51.0,17.0,1.0,182.0
SP0163,2024-09,80.0,377.0,362.0,2.0,93.0
SP0164,2024-09,168.0,281.0,266.0,1.0,182.0
SP0165,2024-09,338.0,42.0,22.0,0.0,358.0
SP0166,2024-09,126.0,4.0,0.0,0.0,130.0
SP0167,2024-09,195.0,397.0,345.0,2.0,245.0
SP0168,2024-09,284.0,210.0,209.0,2.0,283.0
SP0169,2024-09,286.0,71.0,37.0,0.0,320.0
SP0170,2024-09,0.16,0.06,0.02,0.0,0.2
SP0171,2024-09,287.0,290.0,248.0,2.0,327.0
SP0172,2024-09,329.0,368.0,367.0,0.0,330.0
,2024-09,0.4,0.39,0.36,0.0,0.43
SP0174,2024-09,479.0,288.0,268.0,1.0,498.0
SP0175,2024-09,93.0,171.0,149.0,2.0,113.0
SP0176,2024-09,245.0,367.0,352.0,5.0,255.0
SP0177,2024-09,433.0,302.0,265.0,3.0,467.0
SP0178,2024-09,330.0,32.0,13.0,0.0,349.0
SP0179,2024-09,347.0,294.0,294.0,3.0,344.0
SP0180,2024-09,437.0,210.0,211.0,1.0,435.0
SP0181,2024-09,381000.0,43000.0,22000.0,0.0,402000.0
SP0182,2024-09,225.0,21.0,11.0,0.0,235.0
SP9505,2024-09,523.0,267.0,276.0,3.0,511.0
SP0184,2024-09,194.0,255.0,262.0,1.0,186.0
SP0185,2024-09,144000.0,389000.0,344000.0,2000.0,187000.0
SP0186,2024-09,189.0,210.0,216.0,0.0,183.0
SP0187,2024-09,111.0,208.0,179.0,3.0,137.0
SP0188,2024-09,85.0,301.0,309.0,4.0,73.0
SP0189,2024-09,0.45,0.3,0.29,0.0,0.45
SP0190,2024-09,169.0,172.0,165.0,1.0,175.0
SP0191,2024-09,463.0,373.0,341.0,3.0,492.0
SP0192,2024-09,142.0,306.0,266.0,0.0,182.0
SP0193,2024-09,452.0,239.0,204.0,2.0,485.0
SP0194,2024-09,195.0,216.0,216.0,2.0,193.0
SP0195,2024-09,41.0,163.0,156.0,2.0,46.0
SP0196,2024-09,501.0,45.0,18.0,1.0,527.0
SP0197,2024-09,437.0,356.0,347.0,1.0,445.0
SP0198,2024-09,378.0,25.0,9.0,0.0,394.0
SP0199,2024-09,448.0,20.0,7.0,0.0,461.0
SP0200,2024-09,213.0,301.0,295.0,1.0,218.0
SP0201,2024-09,142.0,180.0,173.0,0.0,149.0
SP0202,2024-09,455.0,160.0,158.0,0.0,457.0
SP0203,2024-09,132.0,295.0,279.0,0.0,148.0
SP0204,2024-09,253.0,28.0,8.0,0.0,273.0
SP0205,2024-09,85.0,265.0,236.0,0.0,114.0
SP0206,2024-09,0.22,0.35,0.31,0.0,0.26
SP0207,2024-09,434.0,329.0,316.0,3.0,444.0
SP0208,2024-09,105.0,206.0,184.0,4.0,123.0
SP0209,2024-09,340.0,246.0,253.0,2.0,331.0
SP0210,2024-09,59.0,162.0,166.0,0.0,55.0
SP0211,2024-09,284.0,355.0,350.0,2.0,287.0
SP0212,2024-09,210000.0,5000.0,0.0,0.0,215000.0
SP0213,2024-09,265.0,197.0,169.0,2.0,291.0
SP0214,2024-09,166.0,208.0,200.0,1.0,173.0
SP0215,2024-09,101.0,223.0,227.0,4.0,93.0
SP0216,2024-09,326.0,190.0,195.0,2.0,319.0
SP0217,2024-09,0.11,0.31,0.28,0.0,0.14
SP0218,2024-09,238.0,350.0,367.0,4.0,217.0
SP0219,2024-09,258.0,282.0,251.0,4.0,285.0
SP0220,2024-09,262.0,229.0,215.0,2.0,274.0
