Thang,Vung,MaNhanVien,ChiTieuDoanhThu
2024-08,Miền Bắc,NV-08,2597461000.0
Tháng 08/2024,MB,NV93,2410894000.0
2024-08,Miền Bắc,NV-13,1721347000.0
2024-08,Miền Bắc,NV-15,2076552000.0
2024-08,Miền Bắc,NV-17,2289153000.0
2024-08,North,NV-19,2183080000.0
2024-08,Miền Bắc,NV20,1586685000.0
2024-08,Miền Bắc,NV-22,2165481000.0
2024-08,North,NV-30,2025780000.0
08/2024,Miền Nam,NV-01,1656464000.0
2024-08,Miền Nam,NV-02,1439158000.0
2024-08,MN,NV09,1840908000.0
Aug-24,Miền Nam,NV-12,2552703000.0
2024-08,Miền Nam,NV-14,1664966000.0
2024-08,SG,NV-23,1597760000.0
2024-08,Miền Nam,NV-25,1416360000.0
2024-08,South,NV26,1795918000.0
2024-08,SG,NV-27,2767288000.0
2024-08,South,NV-28,2124064000.0
2024-08,SG,NV29,1687341000.0
2024-08,Miền Trung,NV-03,
2024-08,Miền Trung,NV-04,3156314000.0
2024-08,MT,NV92,2244023000.0
Aug-24,Miền Trung,NV-06,2676862000.0
2024-08,Miền Trung,NV-07,2574673000.0
2024-08,Miền Trung,NV-11,2708848000.0
2024-08,Miền Trung,NV-16,
Aug-24,Miền Trung,NV-18,2462337000.0
Tháng 08/2024,MT,NV-21,1887111000.0
2024-08,Miền Trung,NV-24,2593761000.0
2024-09,Miền Bắc,NV-08,2866263000.0
2024-09,Miền Bắc,NV10,2690086000.0
2024-09,Miền Bắc,NV-13,2184394000.0
2024-09,Miền Bắc,NV-15,2517091000.0
2024-09,North,NV17,2759896000.0
2024-09,Miền Bắc,NV-19,2539212000.0
Tháng 09/2024,North,NV-20,1895823000.0
2024-09,Miền Bắc,NV-22,2568411000.0
2024-09,Miền Bắc,NV-30,2326651000.0
Tháng 09/2024,Miền Nam,NV-01,1555337000.0
2024-09,Miền Nam,NV-02,1381073000.0
2024-09,Miền Nam,NV09,1804786000.0
2024-09,Miền Nam,NV-12,2405471000.0
2024-09,Miền Nam,NV-14,1555573000.0
2024-09,Miền Nam,NV-23,1474135000.0
2024-09,MN,NV25,1374048000.0
Sep-24,Miền Nam,NV-26,1662820000.0
2024-09,Miền Nam,NV-27,2593477000.0
09/2024,MN,NV-28,1959036000.0
Sep-24,Miền Nam,NV-29,1649102000.0
2024-09,Miền Trung,NV-03,2422262000.0
2024-09,Miền Trung,NV-04,3831932000.0
2024-09,Miền Trung,NV-05,2774540000.0
09/2024,Miền Trung,NV-06,3048230000.0
2024-09,Miền Trung,NV07,3120261000.0
2024-09,Miền Trung,NV11,3347231000.0
2024-09,MT,NV-16,2637907000.0
2024-09,Miền Trung,NV18,3117238000.0
2024-09,Miền Trung,NV21,2318824000.0
2024-09,Miền Trung,NV-24,2938637000.0
2024-10,Miền Bắc,NV-08,3086575000.0
Tháng 10/2024,M.Bắc,NV-10,3180925000.0
2024-10,Miền Bắc,NV-13,2243666000.0
2024-10,Miền Bắc,NV-15,2664581000.0
2024-10,Miền Bắc,NV-17,3096363000.0
10/2024,Bắc,NV-19,2797400000.0
2024-10,Miền Bắc,NV-20,2130472000.0
2024-10,Miền Bắc,NV-22,2692055000.0
2024-10,M.Bắc,NV-30,2476464000.0
2024-10,South,NV01,2034979000.0
2024-10,Miền Nam,NV-02,1808682000.0
Oct-24,HCM,NV-09,2191530000.0
2024-10,Miền Nam,NV12,2999669000.0
2024-10,Miền Nam,NV-14,2005069000.0
2024-10,Miền Nam,NV93,1802223000.0
2024-10,Miền Nam,NV-25,1639590000.0
10/2024,Miền Nam,NV-26,2150572000.0
2024-10,Miền Nam,NV-27,3158675000.0
2024-10,Miền Nam,NV-28,2535247000.0
2024-10,MN,NV-29,2124452000.0
2024-10,Miền Trung,NV-03,2520953000.0
