LoaiLech,GieoOBang,GieoOCot,TyLeApDung,SoDongAnhHuong,MoTa
Danh muc khong day du (do nguoi nhap tay bo sot),Dim_PhanNhomKhachHang,MaKhachHang,0.1088,49,"Bang chi bao phu 89% tong so khach hang trong Dim_KhachHang vi phong kinh doanh tu cap nhat tay, khong dong bo tu dong."
Ma lech dinh dang giua he thong,Dim_KhachHang,MaKhachHang,0.8508,380,"Ap dinh dang kieu 'sales' cho 380/450 dong (vd Sales=KH0001, Excel=KH-0001, KeToan=kh0001)."
Ten khach hang viet khac nhau,Dim_KhachHang,TenKhachHang,0.1749,70,"70/450 khach hang bi doi cach viet ten (HOA/thuong, bo dau, viet tat Cty/Cong ty...) — nguyen lieu cho bai gop khach hang."
Ma vung viet tat khong dong nhat,Dim_KhachHang,Vung,0.1005,49,49/450 dong bi doi thanh bien the khong chuan cua cot 'Vung'. 
Ngay lech dinh dang,Dim_KhachHang,NgayBatDauGiaoDich,0.0452,23,23/450 dong bi doi dinh dang ngay thanh yyyy-mm-dd hoac mm/dd/yyyy thay vi chuan dd/mm/yyyy.
Gia tri thieu (NULL),Dim_KhachHang,MaKhachHang,0.0487,29,29/450 dong bi de trong o cot 'MaKhachHang'.
"Ban ghi trung (cung giao dich, ma khac nhau)",Fact_DonHang,MaDonHang,0.0149,179,"Nhan ban 179 dong, GIU NGUYEN toan bo noi dung (khach/san pham/ngay/tien...) nhung gan 'MaDonHang' MOI (khac ma goc) -> mo phong nhap tay lai TU DAU cung 1 giao dich (he thong tu sinh ma moi moi lan nhap). Phai phat hien bang cach so sanh NOI DUNG, khong the GROUP BY 'MaDonHang'."
Ma lech dinh dang giua he thong,Fact_DonHang,MaDonHang,0.7563,9176,"Ap dinh dang kieu 'sales' cho 9176/12179 dong (vd Sales=KH0001, Excel=KH-0001, KeToan=kh0001)."
Ma lech dinh dang giua he thong,Fact_DonHang,MaKhachHang,0.77,9374,"Ap dinh dang kieu 'sales' cho 9374/12179 dong (vd Sales=KH0001, Excel=KH-0001, KeToan=kh0001)."
Ma tham chieu khong ton tai (Orphan FK),Fact_DonHang,MaKhachHang,0.0213,278,278/12179 dong co 'MaKhachHang' tro toi ma khong ton tai trong bang danh muc goc.
Gia tri thieu (NULL),Fact_DonHang,MaKhachHang,0.034,408,408/12179 dong bi de trong o cot 'MaKhachHang'.
Ngay lech dinh dang,Fact_DonHang,NgayDatHang,0.0372,451,451/12179 dong bi doi dinh dang ngay thanh yyyy-mm-dd hoac mm/dd/yyyy thay vi chuan dd/mm/yyyy.
Ten kenh ban viet tat khong dong nhat,Fact_DonHang,KenhBan,0.9068,5442,5442/12179 dong bi doi thanh bien the khong chuan cua cot 'KenhBan'. 
Ma lech dinh dang giua he thong,Fact_DonHang,NhanVienBanHang,0.7153,8647,"Ap dinh dang kieu 'sales' cho 8647/12179 dong (vd Sales=KH0001, Excel=KH-0001, KeToan=kh0001)."
Hai nguon gia khac nhau,Fact_ChiTietDonHang,GiaBanThucTe,0.2463,10758,2911/12000 DON HANG (khong phai dong) bi chon co chenh gia; tat ca 10758 dong chi tiet thuoc cac don do deu bi doi GiaBanThucTe lech so voi GiaNiemYet (khuyen mai hoac tu y tang gia). Dung muc DON dung sat chu de bai '20-25% don co chenh' hon la gieo rai rac tung dong doc lap.
Ma lech dinh dang giua he thong,Fact_ChiTietDonHang,MaDonHang,0.7598,33677,"Ap dinh dang kieu 'sales' cho 33677/44303 dong (vd Sales=KH0001, Excel=KH-0001, KeToan=kh0001)."
Ma lech dinh dang giua he thong,Fact_ChiTietDonHang,MaSanPham,0.7711,34070,"Ap dinh dang kieu 'sales' cho 34070/44303 dong (vd Sales=KH0001, Excel=KH-0001, KeToan=kh0001)."
Ma tham chieu khong ton tai (Orphan FK),Fact_ChiTietDonHang,MaSanPham,0.0211,927,927/44303 dong co 'MaSanPham' tro toi ma khong ton tai trong bang danh muc goc.
