HeThongNguon,TenBang,Grain,TenCot,KieuDuLieu,VaiTro,YNghiaNghiepVu,GiaTriHopLe,KhoaNoiSangBang
01_BanHang,Dim_KhachHang,1 dòng = 1 khách hàng,MaKhachHang,VARCHAR(20),PK,Mã định danh duy nhất của khách hàng,KHxxxx (KH0001..KH0450),
01_BanHang,Dim_KhachHang,1 dòng = 1 khách hàng,TenKhachHang,NVARCHAR(250),Attribute,"Tên khách hàng — tên người nếu Loại=Lẻ, tên công ty nếu Loại=Sỉ",Chuỗi ký tự tiếng Việt,
01_BanHang,Dim_KhachHang,1 dòng = 1 khách hàng,Vung,NVARCHAR(50),Attribute,Vùng địa lý của khách hàng,Miền Bắc / Miền Trung / Miền Nam,
01_BanHang,Dim_KhachHang,1 dòng = 1 khách hàng,LoaiKhach,VARCHAR(10),Attribute,Phân loại khách hàng theo hình thức mua,Sỉ / Lẻ,
01_BanHang,Dim_KhachHang,1 dòng = 1 khách hàng,NgayBatDauGiaoDich,DATE,Attribute,Ngày khách hàng bắt đầu giao dịch với doanh nghiệp,"Ngày hợp lệ, trước DATE_START của kỳ dữ liệu",
01_BanHang,Dim_KhachHang,1 dòng = 1 khách hàng,HanMucCongNo,"DECIMAL(18,2)",Attribute [NGOÀI ĐỀ BÀI],"Hạn mức nợ tối đa được cấp, khác nhau theo LoaiKhach (Sỉ cao hơn Lẻ nhiều) — xem ASSUMPTIONS.md mục 9",Sỉ: 200tr-800tr / Lẻ: 5tr-30tr VNĐ,
01_BanHang,Fact_DonHang,1 dòng = 1 đơn hàng,MaDonHang,VARCHAR(30),PK,Mã định danh duy nhất của đơn hàng,DHxxxxxx,
01_BanHang,Fact_DonHang,1 dòng = 1 đơn hàng,MaKhachHang,VARCHAR(20),FK,Khách hàng đặt đơn,Phải tồn tại trong Dim_KhachHang,Dim_KhachHang.MaKhachHang
01_BanHang,Fact_DonHang,1 dòng = 1 đơn hàng,NgayDatHang,DATETIME,Attribute,Thời điểm đặt hàng (đã cài trọng số mùa vụ theo tháng),Ngày giờ hợp lệ trong 24 tháng lịch sử,
01_BanHang,Fact_DonHang,1 dòng = 1 đơn hàng,KenhBan,NVARCHAR(50),Attribute,Kênh bán phát sinh đơn hàng,"TMĐT-Shopee/Lazada/Tiki, Đại lý, Bán lẻ trực tiếp, Showroom",
01_BanHang,Fact_DonHang,1 dòng = 1 đơn hàng,NhanVienBanHang,VARCHAR(20),FK,Nhân viên phụ trách đơn hàng,Phải tồn tại trong Dim_NhanVienSales,Dim_NhanVienSales.MaNhanVien
01_BanHang,Fact_DonHang,1 dòng = 1 đơn hàng,TrangThai,NVARCHAR(50),Attribute,Trạng thái xử lý đơn hàng,Mới / Đang xử lý / Đã giao / Đã hủy / Trả hàng,
01_BanHang,Fact_ChiTietDonHang,1 dòng = 1 dòng sản phẩm trong 1 đơn hàng (order line),MaChiTiet,VARCHAR(30),PK,Mã định danh duy nhất của dòng chi tiết,CTxxxxxxx,
01_BanHang,Fact_ChiTietDonHang,1 dòng = 1 dòng sản phẩm trong 1 đơn hàng (order line),MaDonHang,VARCHAR(30),FK,Đơn hàng chứa dòng chi tiết này,Phải tồn tại trong Fact_DonHang,Fact_DonHang.MaDonHang
01_BanHang,Fact_ChiTietDonHang,1 dòng = 1 dòng sản phẩm trong 1 đơn hàng (order line),MaSanPham,VARCHAR(20),FK,Sản phẩm được đặt mua,Phải tồn tại trong Dim_SanPham,Dim_SanPham.MaSanPham
01_BanHang,Fact_ChiTietDonHang,1 dòng = 1 dòng sản phẩm trong 1 đơn hàng (order line),SoLuong,INT,Metric,Số lượng sản phẩm trong dòng chi tiết,Số nguyên dương,
01_BanHang,Fact_ChiTietDonHang,1 dòng = 1 dòng sản phẩm trong 1 đơn hàng (order line),GiaBanThucTe,"DECIMAL(18,2)",Metric,Đơn giá bán thực tế (có thể khác GiaNiemYet bên Dim_SanPham),VNĐ > 0,
01_BanHang,Fact_ChiTietDonHang,1 dòng = 1 dòng sản phẩm trong 1 đơn hàng (order line),ChietKhau,"DECIMAL(5,2)",Metric,Tỷ lệ chiết khấu áp dụng (dạng thập phân),0.00 - 0.30,
